,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-08-05,7.48,7.6,7.18,7.24,7.22351,98849900
1,2021-08-06,7.25,7.35,7.03,7.1,7.083829,28799900
2,2021-08-09,7.18,7.31,7.07,7.07,7.053898,14491100
3,2021-08-10,7.12,7.16,7.05,7.1,7.083829,9988600
4,2021-08-11,7.13,7.14,6.8,6.87,6.854353,31978000
5,2021-08-12,6.97,6.98,6.75,6.96,6.944148,17054100
6,2021-08-13,6.98,7.04,6.86,7.01,6.994035,21141500
7,2021-08-16,6.97,7.12,6.78,7.02,7.004012,13434600
8,2021-08-17,6.93,6.99,6.76,6.82,6.804467,17772000
9,2021-08-18,6.83,7.0,6.72,6.81,6.79449,8841700
10,2021-08-19,6.7,6.93,6.42,6.93,6.914217,5423700
11,2021-08-20,6.89,7.05,6.83,6.98,6.964103,3109200
12,2021-08-23,7.04,7.2,7.01,7.17,7.15367,6128800
13,2021-08-24,7.24,7.4,7.18,7.25,7.233488,6054100
14,2021-08-25,7.32,7.38,7.26,7.34,7.323283,5190100
15,2021-08-26,7.34,7.38,7.1,7.1,7.083829,7968100
16,2021-08-27,7.15,7.24,7.12,7.19,7.173625,5881000
17,2021-08-30,7.25,7.28,7.09,7.11,7.093807,4966000
18,2021-08-31,7.15,7.15,7.01,7.1,7.083829,3704100
19,2021-09-01,7.1,7.15,7.03,7.07,7.053898,6468600
20,2021-09-02,7.07,7.09,6.77,6.8,6.784513,3746900
21,2021-09-03,6.84,7.0,6.73,7.0,6.984057,3705400
22,2021-09-06,6.94,7.02,6.88,6.93,6.914217,1654400
23,2021-09-08,6.93,6.93,6.42,6.53,6.515128,10251100
24,2021-09-09,6.53,6.62,6.35,6.41,6.395401,5428200
25,2021-09-10,6.54,6.69,6.37,6.5,6.485196,5905500
26,2021-09-13,6.75,7.0,6.72,6.95,6.934171,8999600
27,2021-09-14,7.06,7.38,7.06,7.19,7.173625,9730300
28,2021-09-15,7.24,7.38,7.14,7.24,7.22351,7265900
29,2021-09-16,7.2,7.29,7.0,7.12,7.103784,6142600
30,2021-09-17,7.1,7.24,6.78,7.24,7.22351,16008100
31,2021-09-20,6.99,7.17,6.88,7.11,7.093807,9065700
32,2021-09-21,7.2,7.4,7.11,7.28,7.26342,11102500
33,2021-09-22,7.33,7.44,7.26,7.31,7.293351,10254600
34,2021-09-23,7.38,7.42,7.19,7.23,7.213533,6341600
35,2021-09-24,7.19,7.23,6.99,7.0,6.984057,5138200
36,2021-09-27,7.0,7.19,6.92,7.15,7.133716,6343700
37,2021-09-28,7.1,7.12,6.94,6.94,6.924194,6782400
38,2021-09-29,7.05,7.09,6.85,6.85,6.834399,6482600
39,2021-09-30,6.9,7.2,6.87,7.1,7.083829,15990100
40,2021-10-01,7.18,7.45,7.18,7.37,7.353214,15528000
41,2021-10-04,7.4,7.43,7.02,7.02,7.004012,12019000
42,2021-10-05,7.14,7.22,7.08,7.13,7.113761,12888200
43,2021-10-06,7.07,7.1,6.88,6.99,6.99,10376100
44,2021-10-07,7.11,7.33,7.03,7.13,7.13,18438800
45,2021-10-08,7.2,7.53,7.12,7.14,7.14,20480700
46,2021-10-11,7.2,7.25,7.03,7.03,7.03,10407400
47,2021-10-13,7.07,7.12,7.03,7.05,7.05,8146000
48,2021-10-14,7.07,7.22,7.06,7.15,7.15,10992200
49,2021-10-15,7.17,7.19,7.04,7.1,7.1,34203500
50,2021-10-18,7.08,7.09,6.96,6.98,6.98,7596500
51,2021-10-19,6.98,7.0,6.67,6.69,6.69,11473400
52,2021-10-20,6.8,6.84,6.61,6.68,6.68,6234400
53,2021-10-21,6.56,6.61,6.19,6.43,6.43,12472300
54,2021-10-22,6.34,6.4,5.88,6.37,6.37,18890200
