,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.82,1.82,1.66,1.66,1.437614,3800.0
1,2016-01-05,1.75,1.76,1.67,1.67,1.446275,2800.0
2,2016-01-06,1.66,1.7,1.62,1.62,1.402972,26300.0
3,2016-01-07,1.62,1.62,1.62,1.62,1.402972,0.0
4,2016-01-08,1.61,1.61,1.52,1.52,1.316369,7000.0
5,2016-01-11,1.55,1.55,1.52,1.55,1.34235,4400.0
6,2016-01-12,1.51,1.51,1.48,1.48,1.281728,900.0
7,2016-01-13,1.45,1.45,1.38,1.44,1.247087,4600.0
8,2016-01-14,1.39,1.39,1.32,1.36,1.177804,57300.0
9,2016-01-15,1.3,1.36,1.24,1.36,1.177804,5500.0
10,2016-01-18,1.31,1.38,1.22,1.35,1.169144,9700.0
11,2016-01-19,1.37,1.4,1.36,1.39,1.203785,2100.0
12,2016-01-20,1.41,1.41,1.3,1.3,1.125842,1200.0
13,2016-01-21,1.36,1.36,1.36,1.36,1.177804,200.0
14,2016-01-22,1.36,1.36,1.36,1.36,1.177804,0.0
15,2016-01-26,1.26,1.26,1.26,1.26,1.091201,600.0
16,2016-01-27,1.29,1.31,1.29,1.31,1.134503,400.0
17,2016-01-28,1.36,1.39,1.35,1.39,1.203785,11800.0
18,2016-01-29,1.43,1.6,1.36,1.6,1.385652,20800.0
19,2016-02-01,1.47,1.49,1.45,1.49,1.290389,2900.0
20,2016-02-02,1.49,1.53,1.42,1.43,1.238426,1900.0
21,2016-02-03,1.43,1.43,1.43,1.43,1.238426,0.0
22,2016-02-04,1.49,1.49,1.49,1.49,1.290389,1000.0
23,2016-02-05,1.49,1.49,1.49,1.49,1.290389,0.0
24,2016-02-10,1.49,1.49,1.43,1.43,1.238426,300.0
25,2016-02-11,1.41,1.41,1.35,1.36,1.177804,700.0
26,2016-02-12,1.36,1.4,1.36,1.36,1.177804,3100.0
27,2016-02-15,1.39,1.39,1.35,1.35,1.169144,1700.0
28,2016-02-16,1.37,1.45,1.35,1.37,1.186465,13700.0
29,2016-02-17,1.41,1.41,1.36,1.36,1.177804,2000.0
30,2016-02-18,1.39,1.39,1.39,1.39,1.203785,1000.0
31,2016-02-19,1.36,1.36,1.36,1.36,1.177804,1700.0
32,2016-02-22,1.41,1.43,1.39,1.39,1.203785,4000.0
33,2016-02-23,1.36,1.4,1.35,1.4,1.212445,5000.0
34,2016-02-24,1.4,1.45,1.33,1.34,1.160484,17400.0
35,2016-02-25,1.43,1.48,1.41,1.41,1.221106,26300.0
36,2016-02-26,1.45,1.45,1.45,1.45,1.255747,5000.0
37,2016-02-29,1.45,1.62,1.45,1.58,1.368331,15800.0
38,2016-03-01,1.63,1.76,1.63,1.76,1.524217,27600.0
39,2016-03-02,1.76,1.8,1.76,1.8,1.558858,3600.0
40,2016-03-03,1.85,1.85,1.85,1.85,1.60216,10800.0
41,2016-03-04,1.85,1.95,1.71,1.84,1.5935,27100.0
42,2016-03-07,1.77,1.8,1.76,1.78,1.541538,2600.0
43,2016-03-08,1.78,1.78,1.78,1.78,1.541538,0.0
44,2016-03-09,1.9,1.98,1.9,1.95,1.688764,1300.0
45,2016-03-10,1.99,2.0,1.95,1.95,1.688764,2700.0
46,2016-03-11,1.94,1.94,1.88,1.94,1.680103,4300.0
47,2016-03-14,1.89,1.89,1.82,1.82,1.576179,2100.0
48,2016-03-15,1.8,1.8,1.75,1.75,1.515557,300.0
49,2016-03-16,1.73,1.73,1.73,1.73,1.498236,800.0
50,2016-03-17,1.84,1.9,1.84,1.9,1.645462,4400.0
51,2016-03-18,1.9,1.9,1.9,1.9,1.645462,1000.0
52,2016-03-21,1.93,1.95,1.82,1.86,1.610821,112000.0
53,2016-03-22,1.91,1.95,1.88,1.91,1.654122,27100.0
54,2016-03-23,1.86,1.95,1.85,1.95,1.688764,7000.0
55,2016-03-24,1.94,1.98,1.88,1.96,1.697424,13900.0
56,2016-03-28,1.86,1.97,1.86,1.93,1.671443,38100.0
57,2016-03-29,1.95,2.05,1.95,1.95,1.688764,28700.0
58,2016-03-30,2.03,2.1,1.91,1.91,1.654122,32100.0
59,2016-03-31,1.9,1.94,1.9,1.94,1.680103,3600.0
60,2016-04-01,1.88,1.88,1.88,1.88,1.628141,300.0
61,2016-04-04,1.89,1.89,1.85,1.85,1.60216,1500.0
62,2016-04-05,1.85,1.85,1.85,1.85,1.60216,0.0
63,2016-04-06,1.85,1.9,1.81,1.81,1.567519,3100.0
64,2016-04-07,1.81,1.81,1.81,1.81,1.567519,900.0
65,2016-04-08,1.9,2.08,1.9,2.08,1.801348,12200.0
66,2016-04-11,2.08,2.08,2.08,2.08,1.801348,0.0
67,2016-04-12,1.95,1.95,1.79,1.92,1.662782,28800.0
68,2016-04-13,2.01,2.19,1.94,2.15,1.86197,163600.0
69,2016-04-14,2.18,2.24,2.0,2.0,1.732065,60400.0
70,2016-04-15,2.08,2.08,2.0,2.0,1.732065,16200.0
71,2016-04-18,2.07,2.07,1.96,2.02,1.749386,9200.0
72,2016-04-19,2.01,2.07,1.99,2.0,1.732065,11700.0
73,2016-04-20,2.01,2.05,2.0,2.01,1.740725,12300.0
74,2016-04-22,2.01,2.01,2.01,2.01,1.740725,0.0
75,2016-04-25,1.94,2.02,1.9,1.9,1.645462,13600.0
76,2016-04-26,1.97,2.1,1.95,2.1,1.818668,8000.0
77,2016-04-27,2.18,2.38,2.18,2.25,1.948573,32800.0
78,2016-04-28,2.34,2.34,2.14,2.14,1.85331,1100.0
79,2016-04-29,2.1,2.21,2.1,2.21,1.913932,8300.0
80,2016-05-02,2.21,2.21,2.21,2.21,1.913932,0.0
81,2016-05-03,2.11,2.11,2.1,2.11,1.827329,4200.0
82,2016-05-04,2.11,2.18,2.11,2.18,1.887951,8100.0
83,2016-05-05,2.02,2.1,2.02,2.1,1.818668,7300.0
84,2016-05-06,2.05,2.05,2.0,2.0,1.732065,39400.0
85,2016-05-09,2.18,2.18,1.99,2.09,1.810008,9500.0
86,2016-05-10,2.14,2.19,2.13,2.13,1.844649,7000.0
87,2016-05-11,2.18,2.29,2.15,2.15,1.86197,17700.0
88,2016-05-12,2.25,2.25,2.15,2.2,1.905272,17600.0
89,2016-05-13,2.2,2.2,2.16,2.16,1.870631,10200.0
90,2016-05-16,2.16,2.29,2.16,2.22,1.922592,26700.0
91,2016-05-17,2.15,2.19,2.15,2.19,1.896611,1100.0
92,2016-05-18,2.19,2.2,2.19,2.2,1.905272,2500.0
93,2016-05-19,2.17,2.17,2.17,2.17,1.879291,1300.0
94,2016-05-20,2.18,2.18,2.18,2.18,1.887951,3700.0
95,2016-05-23,2.18,2.18,2.18,2.18,1.887951,0.0
96,2016-05-24,2.2,2.23,2.13,2.13,1.844649,800.0
97,2016-05-25,2.16,2.22,2.16,2.22,1.922592,6100.0
