,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.45,4.45,4.23,4.25,4.055682,25000.0
1,2016-01-05,4.25,4.44,4.25,4.4,4.198823,6900.0
2,2016-01-06,4.27,4.45,4.24,4.45,4.246537,7400.0
3,2016-01-07,4.28,4.49,4.25,4.45,4.246537,10000.0
4,2016-01-08,4.32,4.38,4.29,4.35,4.151109,9000.0
5,2016-01-11,4.29,4.32,4.2,4.2,4.007967,8000.0
6,2016-01-12,4.13,4.33,4.02,4.02,3.836198,12300.0
7,2016-01-13,4.09,4.38,4.08,4.38,4.179738,8200.0
8,2016-01-14,4.14,4.38,4.13,4.38,4.179738,7400.0
9,2016-01-15,4.25,4.43,4.15,4.15,3.960254,11700.0
10,2016-01-18,4.11,4.4,4.08,4.4,4.198823,11000.0
11,2016-01-19,4.27,4.41,4.19,4.4,4.198823,19600.0
12,2016-01-20,4.2,4.44,4.12,4.34,4.141567,13600.0
13,2016-01-21,4.28,4.4,4.16,4.4,4.198823,8500.0
14,2016-01-22,4.26,4.44,4.23,4.4,4.198823,7600.0
15,2016-01-26,4.41,4.41,4.17,4.4,4.198823,7500.0
16,2016-01-27,4.31,4.39,4.19,4.39,4.18928,10500.0
17,2016-01-28,4.31,4.39,4.31,4.39,4.18928,1900.0
18,2016-01-29,4.32,4.37,4.22,4.34,4.141567,5200.0
19,2016-02-01,4.33,4.35,4.2,4.35,4.151109,8100.0
20,2016-02-02,4.33,4.37,4.25,4.37,4.170195,1900.0
21,2016-02-03,4.29,4.39,4.21,4.39,4.18928,7000.0
22,2016-02-04,4.3,4.37,4.26,4.37,4.170195,6400.0
23,2016-02-05,4.3,4.39,4.3,4.39,4.18928,17400.0
24,2016-02-10,4.35,4.39,4.35,4.35,4.151109,1200.0
25,2016-02-11,4.35,4.39,4.21,4.39,4.18928,29700.0
26,2016-02-12,4.28,4.36,4.11,4.35,4.151109,37800.0
27,2016-02-15,4.37,4.37,4.37,4.37,4.170195,3800.0
28,2016-02-16,4.39,4.39,4.39,4.39,4.18928,29800.0
29,2016-02-17,4.3,4.38,4.21,4.38,4.179738,4400.0
30,2016-02-18,4.31,4.35,4.25,4.25,4.055682,6300.0
31,2016-02-19,4.29,4.41,4.25,4.41,4.208365,10300.0
32,2016-02-22,4.33,4.84,4.3,4.84,4.618705,10500.0
33,2016-02-23,4.65,5.14,4.6,5.14,4.904989,10100.0
34,2016-02-24,5.04,5.06,4.61,4.72,4.504192,12300.0
35,2016-02-25,4.69,4.8,4.66,4.7,4.485106,5100.0
36,2016-02-26,4.66,4.85,4.52,4.52,4.313336,12400.0
37,2016-02-29,4.72,4.8,4.2,4.29,4.093853,12700.0
38,2016-03-01,4.39,4.68,4.37,4.5,4.294251,23100.0
39,2016-03-02,4.53,4.55,4.5,4.55,4.341965,5000.0
40,2016-03-03,4.55,4.77,4.47,4.77,4.551906,4700.0
41,2016-03-04,4.99,4.99,4.75,4.98,4.752305,92700.0
42,2016-03-07,4.82,5.15,4.82,5.15,4.914532,4500.0
43,2016-03-08,5.01,5.5,5.01,5.5,5.248529,6800.0
44,2016-03-09,5.31,5.5,5.18,5.5,5.248529,7700.0
45,2016-03-10,5.39,5.41,5.3,5.4,5.153101,6000.0
46,2016-03-11,5.21,5.21,4.89,5.1,4.866818,6300.0
47,2016-03-14,5.12,5.35,5.12,5.35,5.105387,1300.0
48,2016-03-15,5.35,5.35,5.35,5.35,5.105387,0.0
49,2016-03-16,4.99,5.14,4.81,5.14,4.904989,9000.0
50,2016-03-17,4.98,5.25,4.92,5.25,5.00996,11600.0
