,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.482856,1.499999,1.439999,1.439999,0.93595,136966.0
1,2016-01-05,1.457142,1.534285,1.439999,1.465713,0.952663,60550.0
2,2016-01-06,1.422856,1.422856,1.328571,1.345713,0.874667,149683.0
3,2016-01-07,1.345713,1.362856,1.302856,1.311428,0.852383,84000.0
4,2016-01-08,1.319999,1.397142,1.268571,1.294285,0.841241,389200.0
5,2016-01-11,1.294285,1.311428,1.259999,1.285713,0.835669,22633.0
6,2016-01-12,1.268571,1.311428,1.268571,1.294285,0.841241,12483.0
7,2016-01-13,1.294285,1.328571,1.259999,1.268571,0.824527,76416.0
8,2016-01-14,1.251428,1.251428,1.199999,1.217142,0.7911,45033.0
9,2016-01-15,1.217142,1.217142,1.157142,1.157142,0.752102,69883.0
10,2016-01-18,1.182856,1.199999,1.122856,1.182856,0.768816,55650.0
11,2016-01-19,1.199999,1.242856,1.199999,1.242856,0.807813,159366.0
12,2016-01-20,1.217142,1.234285,1.208571,1.234285,0.802243,39550.0
13,2016-01-21,1.234285,1.285713,1.217142,1.251428,0.813385,27416.0
14,2016-01-22,1.302856,1.371428,1.242856,1.242856,0.807813,64516.0
15,2016-01-26,1.242856,1.268571,1.217142,1.234285,0.802243,25433.0
16,2016-01-27,1.225713,1.225713,1.199999,1.217142,0.7911,15516.0
17,2016-01-28,1.217142,1.277142,1.191428,1.191428,0.774387,69533.0
18,2016-01-29,1.199999,1.199999,1.182856,1.191428,0.774387,28583.0
19,2016-02-01,1.191428,1.268571,1.182856,1.217142,0.7911,52966.0
20,2016-02-02,1.208571,1.225713,1.191428,1.191428,0.774387,85516.0
21,2016-02-03,1.199999,1.217142,1.191428,1.199999,0.779958,13300.0
22,2016-02-04,1.199999,1.217142,1.182856,1.191428,0.774387,222950.0
23,2016-02-05,1.199999,1.199999,1.182856,1.182856,0.768816,40250.0
24,2016-02-10,1.182856,1.217142,1.182856,1.217142,0.7911,29983.0
25,2016-02-11,1.225713,1.268571,1.182856,1.182856,0.768816,82133.0
26,2016-02-12,1.191428,1.328571,1.191428,1.285713,0.835669,18900.0
27,2016-02-15,1.234285,1.328571,1.225713,1.277142,0.830098,90533.0
28,2016-02-16,1.268571,1.405713,1.268571,1.285713,0.835669,145716.0
29,2016-02-17,1.397142,1.397142,1.294285,1.319999,0.857954,137316.0
30,2016-02-18,1.345713,1.362856,1.251428,1.311428,0.852383,128683.0
31,2016-02-19,1.319999,1.319999,1.268571,1.277142,0.830098,21700.0
32,2016-02-22,1.345713,1.345713,1.268571,1.268571,0.824527,57283.0
33,2016-02-23,1.268571,1.285713,1.225713,1.225713,0.796671,28816.0
34,2016-02-24,1.199999,1.259999,1.182856,1.182856,0.768816,47133.0
35,2016-02-25,1.191428,1.234285,1.182856,1.182856,0.768816,97533.0
36,2016-02-26,1.208571,1.208571,1.191428,1.191428,0.774387,14700.0
37,2016-02-29,1.191428,1.277142,1.182856,1.191428,0.774387,67200.0
38,2016-03-01,1.208571,1.277142,1.208571,1.234285,0.802243,49933.0
39,2016-03-02,1.225713,1.354285,1.199999,1.354285,0.880238,43400.0
40,2016-03-03,1.362856,1.414285,1.294285,1.371428,0.891381,581933.0
41,2016-03-04,1.439999,1.439999,1.311428,1.371428,0.891381,55416.0
42,2016-03-07,1.371428,1.371428,1.319999,1.319999,0.857954,22750.0
43,2016-03-08,1.354285,1.354285,1.285713,1.285713,0.835669,35583.0
