,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.0,4.0,3.6,3.8,3.8,7485.0
1,2016-01-05,4.0,4.0,3.6,3.6,3.6,6845.0
2,2016-01-06,3.8,3.8,3.6,3.8,3.8,3955.0
3,2016-01-07,3.6,3.8,3.6,3.8,3.8,1005.0
4,2016-01-08,3.6,3.6,3.4,3.6,3.6,39535.0
5,2016-01-11,3.4,3.6,3.4,3.6,3.6,1280.0
6,2016-01-12,3.4,3.4,3.2,3.4,3.4,23210.0
7,2016-01-13,3.2,3.2,2.8,3.0,3.0,76125.0
8,2016-01-14,3.0,3.0,2.8,2.8,2.8,31405.0
9,2016-01-15,3.0,3.0,2.8,2.8,2.8,2260.0
10,2016-01-18,2.8,3.0,2.6,2.6,2.6,44240.0
11,2016-01-19,2.6,3.0,2.6,2.6,2.6,51970.0
12,2016-01-20,2.6,3.0,2.6,3.0,3.0,14690.0
13,2016-01-21,3.0,3.0,3.0,3.0,3.0,125.0
14,2016-01-22,2.8,3.2,2.8,3.0,3.0,12105.0
15,2016-01-26,3.2,3.2,2.8,2.8,2.8,15170.0
16,2016-01-27,3.0,3.2,3.0,3.0,3.0,108975.0
17,2016-01-28,3.0,3.6,2.8,3.4,3.4,71365.0
18,2016-01-29,3.4,4.0,3.2,3.8,3.8,170545.0
19,2016-02-01,3.8,3.8,3.4,3.6,3.6,65310.0
20,2016-02-02,3.8,3.8,3.2,3.6,3.6,15745.0
21,2016-02-03,3.6,3.6,3.4,3.6,3.6,33940.0
22,2016-02-04,3.6,3.8,3.4,3.6,3.6,9280.0
23,2016-02-05,3.4,3.6,3.4,3.6,3.6,10210.0
24,2016-02-10,3.6,3.6,3.6,3.6,3.6,2020.0
25,2016-02-11,3.4,3.6,3.4,3.6,3.6,3850.0
26,2016-02-12,3.4,3.6,3.4,3.6,3.6,18830.0
27,2016-02-15,3.4,3.6,3.4,3.6,3.6,4055.0
28,2016-02-16,3.6,3.6,3.2,3.4,3.4,39135.0
29,2016-02-17,3.4,3.6,3.4,3.6,3.6,24595.0
30,2016-02-18,3.6,3.6,3.4,3.4,3.4,27450.0
31,2016-02-19,3.4,3.6,3.4,3.6,3.6,14315.0
32,2016-02-22,3.4,3.6,3.4,3.4,3.4,18550.0
33,2016-02-23,3.6,3.6,3.4,3.4,3.4,7610.0
34,2016-02-24,3.4,3.6,3.2,3.4,3.4,7700.0
35,2016-02-25,3.6,3.6,3.2,3.2,3.2,55795.0
36,2016-02-26,3.4,3.4,3.2,3.4,3.4,8135.0
37,2016-02-29,3.2,3.8,3.2,3.4,3.4,138845.0
38,2016-03-01,3.6,3.8,3.4,3.6,3.6,14375.0
39,2016-03-02,3.4,3.8,3.4,3.6,3.6,10805.0
40,2016-03-03,3.8,3.8,3.8,3.8,3.8,33745.0
41,2016-03-04,3.8,4.0,3.4,3.8,3.8,62425.0
42,2016-03-07,3.6,4.0,3.6,3.6,3.6,8900.0
43,2016-03-08,3.8,3.8,3.4,3.6,3.6,90600.0
44,2016-03-09,3.6,3.6,3.4,3.6,3.6,32285.0
45,2016-03-10,3.6,3.6,3.4,3.4,3.4,33945.0
46,2016-03-11,3.4,3.6,3.4,3.6,3.6,11345.0
47,2016-03-14,3.4,3.6,3.2,3.6,3.6,41950.0
48,2016-03-15,3.6,3.6,3.2,3.4,3.4,13440.0
49,2016-03-16,3.2,3.4,3.2,3.4,3.4,15115.0
50,2016-03-17,3.2,3.4,3.2,3.4,3.4,53780.0
51,2016-03-18,3.2,3.4,3.2,3.2,3.2,23125.0
52,2016-03-21,3.2,3.4,3.2,3.2,3.2,30505.0
53,2016-03-22,3.0,3.4,3.0,3.2,3.2,66840.0
54,2016-03-23,3.4,3.4,3.2,3.2,3.2,5805.0
55,2016-03-24,3.2,3.2,3.0,3.2,3.2,5090.0
56,2016-03-28,3.2,3.2,3.0,3.0,3.0,5655.0
57,2016-03-29,3.0,3.4,3.0,3.2,3.2,10685.0
58,2016-03-30,3.2,3.6,3.2,3.6,3.6,71440.0
59,2016-03-31,3.6,3.8,3.4,3.8,3.8,214730.0
60,2016-04-01,3.6,3.6,3.4,3.6,3.6,25575.0
61,2016-04-04,3.6,3.8,3.4,3.8,3.8,19425.0
62,2016-04-05,3.6,3.8,3.6,3.6,3.6,23910.0
63,2016-04-06,3.8,3.8,3.6,3.8,3.8,19745.0
64,2016-04-07,3.6,3.8,3.6,3.8,3.8,16450.0
65,2016-04-08,3.8,3.8,3.6,3.6,3.6,26135.0
66,2016-04-11,3.6,3.8,3.4,3.8,3.8,49995.0
67,2016-04-12,3.6,3.8,3.6,3.6,3.6,28565.0
68,2016-04-13,3.6,3.8,3.6,3.8,3.8,16885.0
69,2016-04-14,3.6,4.0,3.6,3.8,3.8,182395.0
70,2016-04-15,3.8,4.0,3.6,3.8,3.8,69800.0
71,2016-04-18,3.8,3.8,3.6,3.8,3.8,3005.0
72,2016-04-19,3.6,3.8,3.6,3.6,3.6,18025.0
73,2016-04-20,3.6,3.8,3.4,3.6,3.6,14085.0
74,2016-04-22,3.6,3.6,3.4,3.6,3.6,36745.0
75,2016-04-25,3.4,3.6,3.4,3.4,3.4,24210.0
76,2016-04-26,3.4,3.6,3.4,3.6,3.6,9990.0
77,2016-04-27,3.6,3.8,3.4,3.8,3.8,116770.0
78,2016-04-28,3.8,4.0,3.6,3.9,3.9,15000.0
79,2016-04-29,3.7,3.95,3.7,3.9,3.9,62700.0
80,2016-05-02,3.94,3.94,3.77,3.77,3.77,39000.0
81,2016-05-03,3.85,3.85,3.55,3.75,3.75,133100.0
82,2016-05-04,3.55,3.8,3.55,3.77,3.77,12300.0
83,2016-05-05,3.61,3.78,3.61,3.78,3.78,300.0
84,2016-05-06,3.68,3.77,3.68,3.77,3.77,2600.0
85,2016-05-09,3.77,3.85,3.65,3.8,3.8,32200.0
86,2016-05-10,3.6,3.85,3.5,3.85,3.85,17400.0
87,2016-05-11,3.75,3.87,3.65,3.76,3.76,181600.0
88,2016-05-12,3.8,3.85,3.7,3.8,3.8,14600.0
89,2016-05-13,3.82,3.86,3.82,3.86,3.86,1200.0
90,2016-05-16,3.75,3.89,3.6,3.89,3.89,30200.0
91,2016-05-17,3.89,3.89,3.89,3.89,3.89,0.0
92,2016-05-18,3.89,3.89,3.65,3.75,3.75,7700.0
93,2016-05-19,3.65,3.84,3.65,3.84,3.84,11900.0
94,2016-05-20,3.84,3.84,3.84,3.84,3.84,0.0
95,2016-05-23,3.7,3.89,3.7,3.89,3.89,3700.0
96,2016-05-24,3.88,3.88,3.84,3.84,3.84,12500.0
97,2016-05-25,3.71,3.85,3.71,3.85,3.85,6100.0
98,2016-05-27,3.7,3.85,3.7,3.84,3.84,70300.0
99,2016-05-30,3.84,3.84,3.84,3.84,3.84,0.0
100,2016-05-31,3.71,3.85,3.7,3.85,3.85,43500.0
101,2016-06-01,3.76,3.82,3.71,3.74,3.74,6100.0
102,2016-06-02,3.8,3.95,3.8,3.9,3.9,137500.0
103,2016-06-03,3.9,4.1,3.86,4.1,4.1,54900.0
104,2016-06-06,4.09,4.12,4.03,4.1,4.1,21300.0
105,2016-06-07,4.11,4.45,4.11,4.25,4.25,74500.0
106,2016-06-08,4.08,4.45,4.08,4.38,4.38,22200.0
107,2016-06-09,4.42,4.46,4.29,4.4,4.4,49000.0
108,2016-06-10,4.45,4.96,4.45,4.55,4.55,57100.0
109,2016-06-13,4.51,5.0,4.51,4.6,4.6,54000.0
110,2016-06-14,4.59,4.6,4.4,4.6,4.6,53500.0
111,2016-06-15,4.7,4.8,4.5,4.65,4.65,29500.0
112,2016-06-16,4.51,4.7,4.51,4.65,4.65,6400.0
113,2016-06-17,4.5,4.6,4.5,4.59,4.59,16700.0
114,2016-06-20,4.5,4.58,4.4,4.47,4.47,14700.0
115,2016-06-21,4.44,4.5,4.4,4.5,4.5,34700.0
116,2016-06-22,4.5,4.6,4.41,4.6,4.6,37600.0
117,2016-06-23,4.6,4.6,4.45,4.6,4.6,1800.0
118,2016-06-24,4.33,4.4,4.2,4.39,4.39,25200.0
119,2016-06-27,4.05,4.2,3.77,3.8,3.8,19400.0
120,2016-06-28,3.81,4.1,3.6,3.78,3.78,7000.0
121,2016-06-29,3.8,3.99,3.73,3.75,3.75,9200.0
122,2016-06-30,3.85,3.85,3.65,3.82,3.82,800.0
123,2016-07-01,3.7,3.82,3.7,3.82,3.82,1300.0
124,2016-07-04,3.7,3.7,3.65,3.67,3.67,400.0
125,2016-07-05,3.67,3.87,3.41,3.58,3.58,16900.0
126,2016-07-06,3.58,3.58,3.35,3.45,3.45,8400.0
127,2016-07-07,3.45,3.45,3.3,3.3,3.3,9900.0
128,2016-07-08,3.3,3.3,2.7,3.2,3.2,17800.0
129,2016-07-11,3.4,3.9,3.38,3.8,3.8,150600.0
130,2016-07-12,3.8,3.88,3.66,3.66,3.66,97500.0
