,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-11-13,21.0,21.35,20.799999,20.799999,20.799999,470000.0
1,2020-11-16,21.15,21.25,20.969999,21.0,21.0,175800.0
2,2020-11-17,20.940001,20.99,20.65,20.99,20.99,256600.0
3,2020-11-18,20.99,21.07,20.9,20.9,20.9,96600.0
4,2020-11-19,21.0,21.040001,20.82,20.9,20.9,84300.0
5,2020-11-23,20.959999,21.35,20.959999,21.02,21.02,77700.0
6,2020-11-24,21.15,21.5,21.15,21.32,21.32,1043300.0
7,2020-11-25,21.6,23.24,21.6,23.120001,23.120001,467200.0
8,2020-11-26,23.209999,23.799999,23.209999,23.799999,23.799999,71400.0
9,2020-11-27,24.0,24.5,23.0,24.0,24.0,70500.0
10,2020-11-30,24.0,24.200001,23.85,23.950001,23.950001,69500.0
11,2020-12-01,24.059999,24.1,23.959999,24.0,24.0,91500.0
12,2020-12-02,24.0,24.200001,24.0,24.049999,24.049999,37600.0
13,2020-12-03,25.0,26.5,24.040001,24.5,24.5,477900.0
14,2020-12-04,24.76,26.389999,24.700001,25.24,25.24,801800.0
15,2020-12-07,25.24,26.690001,24.67,26.43,26.43,73200.0
16,2020-12-08,26.6,27.65,26.6,27.4,27.4,123700.0
17,2020-12-09,27.559999,28.889999,27.33,27.92,27.92,208300.0
18,2020-12-10,28.75,28.889999,27.889999,28.110001,28.110001,100600.0
19,2020-12-11,28.15,30.9,27.57,29.459999,29.459999,105800.0
20,2020-12-14,31.950001,35.0,31.27,32.0,32.0,294200.0
21,2020-12-15,32.0,35.349998,32.0,34.34,34.34,868700.0
22,2020-12-16,34.98,35.84,33.400002,34.0,34.0,368700.0
23,2020-12-17,34.98,35.0,32.919998,33.400002,33.400002,252700.0
24,2020-12-18,34.799999,34.799999,32.959999,34.049999,34.049999,346800.0
25,2020-12-21,33.150002,34.68,30.299999,33.48,33.48,231000.0
26,2020-12-22,34.549999,34.82,33.91,34.5,34.5,163900.0
27,2020-12-23,34.529999,37.23,34.52,36.0,36.0,442200.0
28,2020-12-28,37.0,38.139999,37.0,37.669998,37.669998,442100.0
29,2020-12-29,38.0,38.560001,37.400002,37.549999,37.549999,329900.0
30,2020-12-30,37.529999,38.099998,37.0,37.200001,37.200001,181500.0
31,2021-01-04,38.0,38.099998,36.389999,36.41,36.41,324700.0
32,2021-01-05,36.880001,37.790001,36.0,37.59,37.59,321000.0
33,2021-01-06,37.59,38.060001,36.82,37.049999,37.049999,393100.0
34,2021-01-07,37.139999,37.630001,36.290001,36.5,36.5,1172200.0
35,2021-01-08,36.580002,37.200001,35.509998,35.509998,35.509998,359300.0
36,2021-01-11,35.25,35.25,33.5,33.5,33.5,440400.0
37,2021-01-12,34.490002,35.0,33.990002,34.029999,34.029999,317900.0
38,2021-01-13,34.25,35.619999,34.25,34.799999,34.799999,202100.0
39,2021-01-14,34.919998,36.0,34.849998,36.0,36.0,248500.0
40,2021-01-15,36.0,36.459999,34.5,35.310001,35.310001,313000.0
41,2021-01-18,35.490002,35.900002,34.619999,35.419998,35.419998,115100.0
42,2021-01-19,36.549999,37.349998,35.599998,35.599998,35.599998,712300.0
43,2021-01-20,36.0,36.709999,35.02,35.5,35.5,351600.0
44,2021-01-21,35.5,35.66,34.73,35.0,35.0,188200.0
45,2021-01-22,34.529999,34.799999,33.849998,34.279999,34.279999,215600.0
46,2021-01-26,34.990002,35.360001,31.93,32.290001,32.290001,657900.0
47,2021-01-27,32.049999,33.009998,30.559999,32.259998,32.259998,751400.0
48,2021-01-28,32.310001,34.209999,32.310001,33.5,33.5,160800.0
49,2021-01-29,33.310001,34.310001,32.0,32.5,32.5,178000.0
50,2021-02-01,34.0,34.450001,32.939999,33.060001,33.060001,597300.0
51,2021-02-02,35.0,35.009998,33.259998,33.950001,33.950001,569700.0
52,2021-02-03,33.970001,34.799999,33.5,34.259998,34.259998,425500.0
53,2021-02-04,34.400002,35.490002,33.75,34.0,34.0,456700.0
54,2021-02-05,34.0,34.73,33.84,34.57,34.57,539200.0
55,2021-02-08,34.57,36.0,34.57,36.0,36.0,443400.0
56,2021-02-09,36.41,37.450001,35.200001,35.689999,35.689999,486700.0
57,2021-02-10,35.82,36.759998,35.610001,36.240002,36.240002,182200.0
58,2021-02-11,36.240002,36.73,35.150002,35.18,35.18,125500.0
59,2021-02-12,35.029999,35.919998,33.990002,35.790001,35.790001,213500.0
60,2021-02-17,,,,,,
61,2021-02-18,37.84,38.889999,37.150002,38.5,38.5,647300.0
62,2021-02-19,38.900002,39.0,37.299999,37.869999,37.869999,274100.0
63,2021-02-22,36.900002,39.41,35.950001,39.200001,39.200001,580700.0
64,2021-02-23,39.200001,39.860001,37.700001,38.369999,38.369999,371300.0
65,2021-02-24,38.41,41.0,38.060001,39.459999,39.459999,579400.0
66,2021-02-25,39.700001,40.48,37.810001,38.0,38.0,392600.0
67,2021-02-26,38.009998,38.709999,35.110001,35.970001,35.970001,401200.0
68,2021-03-01,37.290001,40.880001,36.709999,38.91,38.91,2112300.0
69,2021-03-02,38.91,41.880001,38.529999,41.59,41.59,1039800.0
70,2021-03-03,41.400002,44.369999,39.599998,40.599998,40.599998,1525200.0
71,2021-03-04,41.200001,42.990002,40.91,41.509998,41.509998,483700.0
72,2021-03-05,42.220001,44.369999,42.220001,44.299999,44.299999,700400.0
73,2021-03-08,45.310001,46.400002,42.349998,43.599998,43.599998,990900.0
74,2021-03-09,44.0,45.259998,41.5,45.259998,45.259998,551400.0
75,2021-03-10,45.599998,46.700001,45.130001,46.5,46.5,416300.0
76,2021-03-11,46.599998,49.0,46.599998,49.0,49.0,666000.0
77,2021-03-12,49.049999,50.990002,47.009998,47.5,47.5,934000.0
78,2021-03-15,47.5,48.599998,46.0,46.32,46.32,345700.0
79,2021-03-16,46.299999,47.009998,44.48,44.48,44.48,549100.0
80,2021-03-17,44.200001,45.84,42.919998,45.689999,45.689999,627400.0
81,2021-03-18,45.790001,46.84,42.209999,42.540001,42.540001,560300.0
82,2021-03-19,43.130001,45.950001,43.130001,44.0,44.0,625500.0
83,2021-03-22,43.98,44.57,42.799999,42.799999,42.799999,248300.0
84,2021-03-23,42.5,42.599998,40.950001,40.950001,40.950001,325400.0
85,2021-03-24,41.610001,42.349998,40.41,41.200001,41.200001,448400.0
86,2021-03-25,40.709999,41.98,40.099998,40.599998,40.599998,408500.0
87,2021-03-26,41.57,42.599998,39.080002,39.400002,39.400002,822000.0
88,2021-03-29,39.43,40.490002,38.41,38.849998,38.849998,572000.0
89,2021-03-30,38.860001,40.599998,37.75,39.299999,39.299999,926200.0
90,2021-03-31,39.0,39.599998,37.700001,38.200001,38.200001,2760600.0
91,2021-04-01,38.509998,38.720001,37.18,37.869999,37.869999,1816800.0
92,2021-04-05,38.509998,38.509998,36.509998,37.119999,37.119999,1068400.0
93,2021-04-06,37.299999,38.830002,36.740002,38.400002,38.400002,1603900.0
94,2021-04-07,38.869999,40.34,38.169998,39.849998,39.849998,1944300.0
95,2021-04-08,40.310001,41.0,39.099998,40.369999,40.369999,1489700.0
96,2021-04-09,40.23,40.540001,38.549999,39.82,39.82,1060500.0
97,2021-04-12,39.91,40.349998,39.57,40.07,40.07,707100.0
98,2021-04-13,40.290001,40.290001,39.77,39.959999,39.959999,956100.0
99,2021-04-14,40.07,42.880001,40.07,41.700001,41.700001,1783300.0
100,2021-04-15,42.299999,43.189999,41.099998,42.0,42.0,1276200.0
101,2021-04-16,42.200001,42.900002,41.200001,41.599998,41.599998,918200.0
102,2021-04-19,42.009998,43.939999,41.830002,43.0,43.0,1754500.0
103,2021-04-20,43.0,44.889999,43.0,43.650002,43.650002,1912900.0
104,2021-04-22,44.299999,44.5,42.700001,44.080002,44.080002,1150600.0
105,2021-04-23,44.549999,46.099998,44.09,45.869999,45.869999,1858700.0
106,2021-04-26,45.869999,47.150002,45.049999,45.150002,45.150002,1233900.0
