,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.15,3.45,3.05,3.2,3.2,218300.0
1,2016-01-05,3.45,3.6,3.35,3.55,3.55,396760.0
2,2016-01-06,3.5,3.55,3.25,3.25,3.25,257380.0
3,2016-01-07,3.2,3.2,2.9,2.9,2.9,388980.0
4,2016-01-08,3.05,3.1,2.9,3.0,3.0,186560.0
5,2016-01-11,3.15,3.25,2.95,3.0,3.0,332260.0
6,2016-01-12,3.05,3.05,2.95,3.0,3.0,185360.0
7,2016-01-13,3.0,3.1,2.9,2.9,2.9,191860.0
8,2016-01-14,2.9,2.9,2.7,2.75,2.75,234720.0
9,2016-01-15,2.75,2.75,2.55,2.55,2.55,237980.0
10,2016-01-18,2.6,2.65,2.4,2.4,2.4,267220.0
11,2016-01-19,2.41,2.44,2.07,2.07,2.07,488200.0
12,2016-01-20,2.0,2.21,1.66,2.19,2.19,940400.0
13,2016-01-21,2.15,2.32,2.0,2.0,2.0,424000.0
14,2016-01-22,2.03,2.12,2.03,2.07,2.07,247800.0
15,2016-01-26,2.0,2.1,1.86,2.0,2.0,310900.0
16,2016-01-27,2.0,2.04,1.95,1.96,1.96,299400.0
17,2016-01-28,1.98,1.98,1.92,1.97,1.97,115100.0
18,2016-01-29,1.96,2.0,1.93,1.96,1.96,139000.0
19,2016-02-01,1.98,2.0,1.92,2.0,2.0,160300.0
20,2016-02-02,2.0,2.3,2.0,2.2,2.2,400000.0
21,2016-02-03,2.41,3.5,2.41,3.5,3.5,1558400.0
22,2016-02-04,4.1,4.5,3.52,4.08,4.08,1933400.0
23,2016-02-05,3.9,4.17,3.62,4.16,4.16,620300.0
24,2016-02-10,3.95,4.3,3.71,3.87,3.87,276600.0
25,2016-02-11,4.0,4.15,3.83,3.84,3.84,406100.0
26,2016-02-12,3.99,4.0,3.66,3.75,3.75,361400.0
27,2016-02-15,3.88,3.98,3.76,3.85,3.85,357100.0
28,2016-02-16,3.97,4.93,3.93,4.66,4.66,2212900.0
29,2016-02-17,4.92,5.06,4.22,4.22,4.22,1509700.0
30,2016-02-18,4.18,4.38,3.9,3.95,3.95,1465600.0
31,2016-02-19,3.88,4.27,3.81,3.93,3.93,527500.0
32,2016-02-22,4.15,4.3,4.05,4.05,4.05,519200.0
33,2016-02-23,4.07,4.16,3.85,4.07,4.07,574800.0
34,2016-02-24,3.95,4.07,3.92,4.0,4.0,130000.0
35,2016-02-25,4.15,4.77,4.15,4.38,4.38,938800.0
36,2016-02-26,4.51,4.59,4.16,4.2,4.2,690400.0
37,2016-02-29,4.32,4.39,4.11,4.11,4.11,472500.0
38,2016-03-01,4.22,4.29,4.01,4.05,4.05,244700.0
39,2016-03-02,4.06,4.2,3.95,4.13,4.13,386100.0
40,2016-03-03,4.14,4.55,4.14,4.5,4.5,959000.0
41,2016-03-04,4.79,4.98,4.21,4.21,4.21,1080700.0
42,2016-03-07,4.35,4.9,4.22,4.83,4.83,558100.0
43,2016-03-08,4.58,5.49,4.58,5.36,5.36,792300.0
44,2016-03-09,5.61,5.94,5.37,5.37,5.37,749400.0
45,2016-03-10,5.56,5.67,4.81,4.88,4.88,553900.0
46,2016-03-11,5.14,5.19,4.88,5.08,5.08,215300.0
47,2016-03-14,5.2,5.48,4.86,4.86,4.86,342300.0
48,2016-03-15,4.85,4.99,4.05,4.1,4.1,357900.0
49,2016-03-16,4.16,4.27,3.74,4.08,4.08,332400.0
50,2016-03-17,4.29,4.68,4.17,4.2,4.2,393800.0
51,2016-03-18,4.16,4.47,4.01,4.03,4.03,341000.0
52,2016-03-21,4.12,4.37,4.03,4.15,4.15,259400.0
53,2016-03-22,4.18,4.68,4.07,4.5,4.5,372400.0
54,2016-03-23,4.48,4.92,4.36,4.92,4.92,765800.0
55,2016-03-24,4.97,5.0,4.63,4.63,4.63,313700.0
56,2016-03-28,4.74,4.97,4.5,4.62,4.62,347800.0
57,2016-03-29,4.69,4.81,4.55,4.58,4.58,377200.0
