,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.5,6.8,6.5,6.52,4.663311,4000.0
1,2016-01-05,6.5,6.65,6.35,6.52,4.663311,7400.0
2,2016-01-06,6.7,6.8,6.3,6.58,4.706225,3300.0
3,2016-01-07,6.36,6.36,6.3,6.31,4.513113,3000.0
4,2016-01-08,6.46,6.46,6.35,6.42,4.591789,20400.0
5,2016-01-11,6.49,6.5,6.36,6.45,4.613246,5400.0
6,2016-01-12,6.45,6.45,6.45,6.45,4.613246,0.0
7,2016-01-13,6.31,6.56,6.31,6.55,4.684769,1400.0
8,2016-01-14,6.44,6.64,6.33,6.33,4.527417,2200.0
9,2016-01-15,6.3,6.6,6.22,6.22,4.448741,1900.0
10,2016-01-18,6.19,6.3,6.1,6.1,4.362915,2300.0
11,2016-01-19,6.12,6.22,6.11,6.16,4.405829,8100.0
12,2016-01-20,6.1,6.13,6.0,6.0,4.291392,13100.0
13,2016-01-21,5.88,5.95,5.8,5.8,4.148345,12500.0
14,2016-01-22,5.94,5.94,5.73,5.73,4.098279,4700.0
15,2016-01-26,5.6,5.6,5.43,5.54,3.962385,14200.0
16,2016-01-27,5.42,5.68,5.4,5.6,4.0053,20400.0
17,2016-01-28,5.8,6.01,5.63,5.86,4.191259,9500.0
18,2016-01-29,6.05,6.35,5.88,6.0,4.291392,4700.0
19,2016-02-01,5.9,6.08,5.9,5.95,4.25563,11200.0
20,2016-02-02,5.91,5.91,5.75,5.75,4.112583,27600.0
21,2016-02-03,5.8,5.91,5.76,5.8,4.148345,1500.0
22,2016-02-04,6.1,6.4,5.88,6.3,4.505961,4100.0
23,2016-02-05,6.33,6.4,6.32,6.4,4.577485,1800.0
24,2016-02-10,6.45,6.45,6.2,6.2,4.434438,1700.0
25,2016-02-11,6.2,6.29,5.97,6.0,4.291392,7500.0
26,2016-02-12,6.09,6.1,6.03,6.03,4.312848,1000.0
27,2016-02-15,6.29,6.29,6.0,6.06,4.334304,27700.0
28,2016-02-16,6.1,6.25,6.1,6.25,4.470201,3100.0
29,2016-02-17,6.24,6.44,6.15,6.16,4.405829,9100.0
30,2016-02-18,6.2,6.2,6.01,6.1,4.362915,3100.0
31,2016-02-19,6.11,6.11,5.85,6.1,4.362915,11700.0
32,2016-02-22,6.2,6.2,6.19,6.2,4.434438,6100.0
33,2016-02-23,6.01,6.3,5.89,6.1,4.362915,25200.0
34,2016-02-24,5.95,6.37,5.94,6.1,4.362915,2800.0
35,2016-02-25,5.94,6.12,5.94,6.02,4.305696,28600.0
36,2016-02-26,6.06,6.19,6.06,6.19,4.427285,400.0
37,2016-02-29,6.01,6.53,6.01,6.4,4.577485,6600.0
38,2016-03-01,6.31,6.57,6.31,6.5,4.649007,4800.0
39,2016-03-02,6.55,6.95,6.55,6.89,4.927948,23300.0
40,2016-03-03,7.56,7.56,7.56,7.56,5.407154,34800.0
41,2016-03-04,7.56,8.0,7.4,7.4,5.292717,6500.0
42,2016-03-07,7.39,7.72,6.95,7.4,5.292717,13400.0
43,2016-03-08,7.5,7.72,7.5,7.5,5.364239,4800.0
44,2016-03-09,7.8,7.8,7.4,7.4,5.292717,6500.0
45,2016-03-10,7.3,7.6,7.06,7.06,5.049537,3700.0
46,2016-03-11,7.35,7.42,6.21,6.21,4.44159,39900.0
47,2016-03-14,6.84,7.4,6.84,7.39,5.285563,59500.0
48,2016-03-15,7.3,7.38,7.0,7.05,5.042387,5700.0
49,2016-03-16,7.1,7.18,6.8,7.18,5.135365,4000.0
50,2016-03-17,7.37,7.8,7.22,7.72,5.52159,17900.0
51,2016-03-18,7.51,7.6,7.43,7.5,5.364239,4300.0
52,2016-03-21,7.32,7.8,7.32,7.55,5.400001,34200.0
53,2016-03-22,7.5,7.6,7.43,7.45,5.328477,8800.0
54,2016-03-23,7.56,7.6,7.43,7.43,5.314173,9400.0
55,2016-03-24,7.55,7.55,7.55,7.55,5.400001,400.0
56,2016-03-28,7.65,8.0,7.65,7.95,5.686093,15200.0
57,2016-03-29,7.97,7.97,7.41,7.41,5.299868,66400.0
58,2016-03-30,7.67,8.0,7.67,8.0,5.721855,42700.0
59,2016-03-31,7.71,7.72,7.35,7.4,5.292717,26800.0
60,2016-04-01,7.58,7.69,7.55,7.69,5.500133,9200.0
61,2016-04-04,7.68,7.68,7.4,7.4,5.292717,37600.0
62,2016-04-05,7.25,7.59,7.25,7.41,5.299868,19100.0
63,2016-04-06,7.4,7.5,7.36,7.45,5.328477,5500.0
64,2016-04-07,7.45,7.58,7.4,7.46,5.33563,3200.0
65,2016-04-08,7.74,7.8,7.53,7.7,5.507285,3700.0
66,2016-04-11,7.4,7.65,7.4,7.45,5.328477,15200.0
67,2016-04-12,7.6,7.8,7.51,7.7,5.507285,5100.0
68,2016-04-13,7.99,8.05,7.51,7.51,5.371393,6700.0
69,2016-04-14,7.6,7.61,7.3,7.3,5.221193,5900.0
70,2016-04-15,7.33,7.39,7.26,7.3,5.221193,12800.0
71,2016-04-18,7.67,7.67,7.32,7.66,5.478676,4800.0
72,2016-04-19,7.8,7.91,7.76,7.91,5.657485,2900.0
73,2016-04-20,7.7,7.91,7.65,7.8,5.578808,2500.0
74,2016-04-22,7.7,7.9,7.67,7.67,5.485828,15100.0
75,2016-04-25,7.67,7.76,7.67,7.67,5.485828,4400.0
76,2016-04-26,7.67,7.85,7.67,7.68,5.492982,4300.0
77,2016-04-27,7.9,7.9,7.76,7.76,5.5502,29700.0
78,2016-04-28,7.7,7.85,7.7,7.74,5.535894,11100.0
79,2016-04-29,7.85,7.92,7.68,7.82,5.593113,392800.0
80,2016-05-02,7.69,7.9,7.67,7.77,5.557352,11000.0
81,2016-05-03,7.68,7.75,7.6,7.75,5.543046,40800.0
82,2016-05-04,7.67,7.8,7.63,7.65,5.471524,31400.0
83,2016-05-05,7.8,7.9,7.71,7.74,5.535894,23500.0
84,2016-05-06,7.75,7.75,7.6,7.61,5.442914,21800.0
85,2016-05-09,7.69,7.69,7.6,7.62,5.450067,3100.0
86,2016-05-10,7.69,7.8,7.63,7.8,5.578808,16300.0
87,2016-05-11,7.8,7.9,7.7,7.7,5.507285,9700.0
88,2016-05-12,7.78,8.27,7.7,7.75,5.543046,28900.0
89,2016-05-13,7.69,7.8,7.56,7.6,5.435762,10500.0
90,2016-05-16,7.61,7.89,7.41,7.78,5.564504,11800.0
91,2016-05-17,7.7,7.89,7.6,7.6,5.435762,24000.0
92,2016-05-18,7.6,7.91,7.6,7.8,5.578808,7900.0
93,2016-05-19,7.7,7.7,7.62,7.65,5.471524,2200.0
94,2016-05-20,7.65,7.65,7.64,7.64,5.464371,600.0
95,2016-05-23,7.45,7.8,7.45,7.55,5.400001,4300.0
96,2016-05-24,7.8,7.83,7.6,7.6,5.435762,1600.0
97,2016-05-25,7.72,7.72,7.65,7.69,5.500133,2700.0
98,2016-05-27,7.79,7.79,7.7,7.71,5.514438,16900.0
99,2016-05-30,7.6,7.75,7.51,7.7,5.507285,65800.0
100,2016-05-31,7.62,7.73,7.57,7.57,5.414306,23800.0
101,2016-06-01,7.69,7.69,7.54,7.68,5.492982,3200.0
102,2016-06-02,7.8,7.81,7.7,7.81,5.585962,5700.0
103,2016-06-03,7.87,7.92,7.72,7.9,5.650332,21800.0
104,2016-06-06,7.95,8.14,7.85,7.85,5.614571,1200.0
105,2016-06-07,7.9,8.2,7.7,7.8,5.578808,29900.0
106,2016-06-08,7.82,8.08,7.75,7.87,5.628875,41500.0
107,2016-06-09,7.81,8.1,7.7,7.95,5.686093,9500.0
108,2016-06-10,8.0,8.0,7.72,7.72,5.52159,28600.0
109,2016-06-13,7.7,7.7,7.56,7.61,5.442914,12800.0
110,2016-06-14,7.8,7.85,7.5,7.52,5.378543,13700.0
111,2016-06-15,7.51,7.6,7.4,7.4,5.292717,15700.0
112,2016-06-16,7.35,7.4,7.2,7.3,5.221193,19500.0
113,2016-06-17,7.54,7.7,7.4,7.4,5.292717,10200.0
