,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.89,2.89,2.72,2.72,2.72,19800.0
1,2016-01-05,2.76,2.85,2.72,2.84,2.84,9600.0
2,2016-01-06,2.82,2.82,2.71,2.71,2.71,26500.0
3,2016-01-07,2.84,2.84,2.61,2.61,2.61,34800.0
4,2016-01-08,2.59,2.65,2.45,2.6,2.6,34300.0
5,2016-01-11,2.6,2.6,2.48,2.48,2.48,12100.0
6,2016-01-12,2.5,2.53,2.42,2.42,2.42,46600.0
7,2016-01-13,2.44,2.5,2.39,2.4,2.4,48100.0
8,2016-01-14,2.4,2.44,2.34,2.38,2.38,46500.0
9,2016-01-15,2.37,2.43,2.36,2.4,2.4,6400.0
10,2016-01-18,2.4,2.47,2.4,2.47,2.47,5700.0
11,2016-01-19,2.44,2.54,2.42,2.54,2.54,9800.0
12,2016-01-20,2.53,2.56,2.48,2.5,2.5,43100.0
13,2016-01-21,2.52,2.57,2.29,2.29,2.29,111300.0
14,2016-01-22,2.31,2.31,1.89,2.2,2.2,245700.0
15,2016-01-26,2.09,2.16,2.0,2.15,2.15,44000.0
16,2016-01-27,2.12,2.33,2.08,2.33,2.33,42600.0
17,2016-01-28,2.29,2.32,2.16,2.29,2.29,42600.0
18,2016-01-29,2.26,2.39,2.12,2.39,2.39,66800.0
19,2016-02-01,2.39,2.39,2.3,2.3,2.3,7000.0
20,2016-02-02,2.3,2.3,2.01,2.01,2.01,533900.0
21,2016-02-03,2.04,2.14,1.96,2.07,2.07,50500.0
22,2016-02-04,2.09,2.14,2.05,2.1,2.1,48800.0
23,2016-02-05,2.1,2.2,2.1,2.14,2.14,8300.0
24,2016-02-10,2.14,2.22,2.1,2.2,2.2,13600.0
25,2016-02-11,2.14,2.14,2.08,2.08,2.08,30000.0
26,2016-02-12,2.11,2.16,2.1,2.1,2.1,23700.0
27,2016-02-15,2.11,2.12,2.1,2.1,2.1,3900.0
28,2016-02-16,2.12,2.14,2.05,2.05,2.05,25000.0
29,2016-02-17,2.1,2.22,2.08,2.22,2.22,81200.0
30,2016-02-18,2.2,2.5,2.18,2.48,2.48,64800.0
31,2016-02-19,2.4,2.46,2.38,2.43,2.43,25300.0
32,2016-02-22,2.5,2.6,2.44,2.49,2.49,54900.0
33,2016-02-23,2.6,2.6,2.4,2.44,2.44,35800.0
34,2016-02-24,2.43,2.43,2.27,2.36,2.36,48500.0
35,2016-02-25,2.36,2.42,2.33,2.42,2.42,22700.0
36,2016-02-26,2.38,2.4,2.33,2.36,2.36,48600.0
37,2016-02-29,2.39,2.52,2.39,2.41,2.41,13600.0
38,2016-03-01,2.45,2.69,2.39,2.59,2.59,39400.0
39,2016-03-02,2.6,2.79,2.53,2.74,2.74,136200.0
40,2016-03-03,2.78,2.84,2.75,2.8,2.8,52100.0
41,2016-03-04,2.85,3.0,2.85,3.0,3.0,71700.0
42,2016-03-07,3.0,3.0,2.85,2.87,2.87,15700.0
43,2016-03-08,2.85,2.88,2.71,2.83,2.83,30700.0
44,2016-03-09,2.87,2.9,2.76,2.88,2.88,15600.0
45,2016-03-10,2.88,2.88,2.74,2.75,2.75,36500.0
46,2016-03-11,2.75,2.76,2.61,2.67,2.67,28700.0
47,2016-03-14,2.75,2.87,2.75,2.79,2.79,51300.0
48,2016-03-15,2.79,2.85,2.75,2.85,2.85,21300.0
49,2016-03-16,2.86,2.89,2.75,2.89,2.89,37900.0
50,2016-03-17,2.85,2.85,2.77,2.84,2.84,42300.0
51,2016-03-18,2.9,2.95,2.8,2.95,2.95,34300.0
52,2016-03-21,2.95,3.04,2.9,3.02,3.02,26700.0
53,2016-03-22,3.02,3.04,2.96,2.98,2.98,20400.0
54,2016-03-23,3.0,3.09,2.96,3.06,3.06,36800.0
55,2016-03-24,3.04,3.06,3.0,3.06,3.06,7900.0
56,2016-03-28,3.07,3.19,3.07,3.16,3.16,13100.0
57,2016-03-29,3.17,3.3,3.13,3.3,3.3,35300.0
58,2016-03-30,3.34,3.37,3.31,3.35,3.35,24700.0
59,2016-03-31,3.37,3.39,3.18,3.31,3.31,30400.0
60,2016-04-01,3.24,3.32,3.13,3.19,3.19,26000.0
61,2016-04-04,3.13,3.33,3.13,3.25,3.25,188300.0
62,2016-04-05,3.25,3.3,3.23,3.3,3.3,77400.0
63,2016-04-06,3.29,3.33,3.24,3.33,3.33,15100.0
64,2016-04-07,3.34,3.37,3.21,3.34,3.34,35800.0
65,2016-04-08,3.39,3.5,3.39,3.5,3.5,43500.0
66,2016-04-11,3.4,3.74,3.4,3.7,3.7,44400.0
67,2016-04-12,3.7,3.86,3.68,3.8,3.8,57700.0
68,2016-04-13,3.75,3.91,3.75,3.8,3.8,39000.0
69,2016-04-14,3.9,3.99,3.79,3.95,3.95,113500.0
70,2016-04-15,3.99,4.27,3.99,4.14,4.14,124400.0
71,2016-04-18,4.22,4.27,3.9,4.0,4.0,39500.0
72,2016-04-19,3.98,4.08,3.91,4.06,4.06,58800.0
73,2016-04-20,4.06,4.09,3.91,3.91,3.91,74200.0
74,2016-04-22,3.96,3.96,3.82,3.82,3.82,81400.0
75,2016-04-25,3.89,3.89,3.64,3.64,3.64,63100.0
76,2016-04-26,3.73,3.73,3.5,3.69,3.69,346000.0
77,2016-04-27,3.7,3.94,3.7,3.87,3.87,84600.0
78,2016-04-28,3.9,4.02,3.89,4.02,4.02,71600.0
79,2016-04-29,4.02,4.04,3.95,4.0,4.0,29400.0
80,2016-05-02,4.04,4.05,3.88,3.88,3.88,37400.0
81,2016-05-03,3.9,3.92,3.73,3.88,3.88,46600.0
82,2016-05-04,3.95,3.95,3.72,3.72,3.72,29700.0
83,2016-05-05,3.83,3.9,3.73,3.77,3.77,30100.0
84,2016-05-06,3.81,3.81,3.69,3.7,3.7,22500.0
85,2016-05-09,3.8,3.8,3.43,3.66,3.66,25800.0
86,2016-05-10,3.76,3.84,3.75,3.84,3.84,24100.0
87,2016-05-11,3.9,4.01,3.8,3.94,3.94,46200.0
88,2016-05-12,3.95,3.97,3.83,3.95,3.95,71700.0
89,2016-05-13,3.95,4.0,3.85,4.0,4.0,103900.0
90,2016-05-16,4.0,4.02,3.89,3.89,3.89,145000.0
91,2016-05-17,4.02,4.08,3.85,3.9,3.9,274700.0
92,2016-05-18,3.9,3.95,3.87,3.87,3.87,125800.0
93,2016-05-19,3.9,3.9,3.84,3.84,3.84,59400.0
94,2016-05-20,3.9,3.9,3.85,3.88,3.88,123600.0
95,2016-05-23,3.89,3.9,3.83,3.83,3.83,43100.0
96,2016-05-24,3.86,4.0,3.66,3.82,3.82,70500.0
97,2016-05-25,3.9,3.9,3.74,3.82,3.82,26800.0
98,2016-05-27,3.8,3.84,3.79,3.8,3.8,11700.0
99,2016-05-30,3.8,3.8,3.68,3.68,3.68,30400.0
100,2016-05-31,3.7,3.73,3.65,3.72,3.72,24700.0
101,2016-06-01,3.65,3.76,3.65,3.74,3.74,19800.0
102,2016-06-02,3.79,3.8,3.7,3.7,3.7,33800.0
103,2016-06-03,3.7,3.73,3.61,3.62,3.62,24900.0
104,2016-06-06,3.62,3.7,3.58,3.58,3.58,39400.0
105,2016-06-07,3.63,3.63,3.56,3.57,3.57,16600.0
106,2016-06-08,3.6,3.7,3.5,3.52,3.52,57200.0
107,2016-06-09,3.5,3.52,3.48,3.49,3.49,37800.0
108,2016-06-10,3.5,3.51,3.44,3.44,3.44,12100.0
109,2016-06-13,3.44,3.46,3.43,3.45,3.45,16200.0
110,2016-06-14,3.44,3.45,3.42,3.45,3.45,16900.0
111,2016-06-15,3.45,3.67,3.4,3.4,3.4,181100.0
112,2016-06-16,3.4,3.4,3.25,3.28,3.28,42200.0
113,2016-06-17,3.21,3.42,3.14,3.42,3.42,34900.0
114,2016-06-20,3.3,3.41,3.3,3.41,3.41,28100.0
115,2016-06-21,3.3,3.39,3.2,3.29,3.29,43500.0
116,2016-06-22,3.28,3.3,3.25,3.3,3.3,16500.0
117,2016-06-23,3.4,3.4,3.29,3.3,3.3,12100.0
118,2016-06-24,3.14,3.37,3.1,3.36,3.36,22600.0
119,2016-06-27,3.37,3.37,3.09,3.3,3.3,650700.0
120,2016-06-28,3.37,3.39,3.27,3.3,3.3,17900.0
121,2016-06-29,3.35,3.35,3.24,3.28,3.28,37000.0
122,2016-06-30,3.3,3.32,3.24,3.29,3.29,46200.0
123,2016-07-01,3.29,3.29,3.19,3.19,3.19,38700.0
124,2016-07-04,3.2,3.35,3.2,3.26,3.26,42900.0
125,2016-07-05,3.26,3.34,3.26,3.3,3.3,19500.0
126,2016-07-06,3.3,3.3,3.2,3.26,3.26,44300.0
127,2016-07-07,3.26,3.34,3.26,3.27,3.27,20800.0
128,2016-07-08,3.27,3.29,3.25,3.29,3.29,48900.0
129,2016-07-11,3.29,3.35,3.26,3.28,3.28,30300.0
130,2016-07-12,3.29,3.45,3.28,3.36,3.36,132600.0
131,2016-07-13,3.35,3.44,3.3,3.44,3.44,101000.0
132,2016-07-14,3.44,3.56,3.44,3.46,3.46,106700.0
133,2016-07-15,3.5,3.53,3.48,3.49,3.49,64400.0
134,2016-07-18,3.55,3.6,3.46,3.59,3.59,52900.0
135,2016-07-19,3.58,3.76,3.57,3.65,3.65,93600.0
136,2016-07-20,3.79,3.79,3.6,3.67,3.67,96600.0
137,2016-07-21,3.67,3.67,3.59,3.59,3.59,76100.0
138,2016-07-22,3.59,3.61,3.5,3.59,3.59,74300.0
139,2016-07-25,3.65,3.66,3.58,3.6,3.6,28000.0
140,2016-07-26,3.6,3.63,3.51,3.51,3.51,54300.0
141,2016-07-27,3.51,3.85,3.51,3.8,3.8,71300.0
142,2016-07-28,3.81,3.95,3.8,3.91,3.91,61000.0
143,2016-07-29,3.91,4.01,3.73,3.95,3.95,105000.0
144,2016-08-01,4.0,4.05,3.83,3.87,3.87,41100.0
145,2016-08-02,3.94,3.94,3.65,3.78,3.78,26700.0
146,2016-08-03,3.84,4.15,3.83,4.1,4.1,126800.0
147,2016-08-04,4.15,4.2,4.0,4.0,4.0,143600.0
148,2016-08-05,4.0,4.4,4.0,4.35,4.35,147000.0
149,2016-08-08,4.55,5.0,4.48,4.48,4.48,323900.0
150,2016-08-09,4.53,4.66,4.37,4.37,4.37,87600.0
151,2016-08-10,4.37,4.5,4.25,4.4,4.4,83000.0
152,2016-08-11,4.49,4.67,4.32,4.34,4.34,225600.0
153,2016-08-12,4.35,4.35,4.2,4.23,4.23,104200.0
154,2016-08-15,4.31,4.38,4.24,4.3,4.3,40100.0
155,2016-08-16,4.3,4.45,4.25,4.4,4.4,59000.0
156,2016-08-17,4.44,4.45,4.1,4.28,4.28,124200.0
157,2016-08-18,4.28,4.39,4.21,4.25,4.25,73300.0
158,2016-08-19,4.27,4.29,4.18,4.27,4.27,50800.0
159,2016-08-22,4.21,4.35,4.19,4.22,4.22,48100.0
160,2016-08-23,4.26,4.32,4.2,4.24,4.24,30700.0
