,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.0,3.04,2.88,2.95,2.77522,66000.0
1,2016-01-05,3.0,3.2,3.0,3.2,3.010408,59200.0
2,2016-01-06,3.22,3.22,3.02,3.04,2.859888,20200.0
3,2016-01-07,3.0,3.17,3.0,3.14,2.953963,9900.0
4,2016-01-08,3.1,3.3,3.1,3.3,3.104483,33300.0
5,2016-01-11,3.3,3.3,3.18,3.29,3.095076,18800.0
6,2016-01-12,3.34,3.44,3.16,3.28,3.085668,48600.0
7,2016-01-13,3.29,3.34,3.19,3.19,3.001001,26400.0
8,2016-01-14,3.24,3.24,3.04,3.19,3.001001,100400.0
9,2016-01-15,3.14,3.31,3.09,3.21,3.019816,111200.0
10,2016-01-18,3.25,3.25,3.06,3.14,2.953963,69900.0
11,2016-01-19,3.16,3.16,3.1,3.15,2.963371,99400.0
12,2016-01-20,3.11,3.16,3.04,3.09,2.906925,152100.0
13,2016-01-21,3.11,3.11,3.02,3.1,2.916333,532500.0
14,2016-01-22,3.16,3.35,3.08,3.35,3.151521,99300.0
15,2016-01-26,3.52,3.52,3.23,3.39,3.189152,1007900.0
16,2016-01-27,3.57,3.59,3.29,3.4,3.198559,32000.0
17,2016-01-28,3.39,3.44,3.34,3.41,3.207967,7800.0
18,2016-01-29,3.45,3.5,3.35,3.35,3.151521,26300.0
19,2016-02-01,3.45,3.49,3.33,3.4,3.198559,23500.0
20,2016-02-02,3.45,3.47,3.35,3.47,3.264411,44500.0
21,2016-02-03,3.46,3.49,3.4,3.48,3.273819,450800.0
22,2016-02-04,3.43,3.63,3.43,3.45,3.245596,289100.0
23,2016-02-05,3.46,3.66,3.45,3.6,3.386709,373000.0
24,2016-02-10,3.6,3.78,3.6,3.66,3.443154,196300.0
25,2016-02-11,3.7,3.98,3.68,3.8,3.57486,19100.0
26,2016-02-12,3.87,3.96,3.66,3.8,3.57486,70500.0
27,2016-02-15,3.75,3.83,3.68,3.83,3.603082,13300.0
28,2016-02-16,3.78,3.9,3.75,3.82,3.593675,40000.0
29,2016-02-17,3.93,3.97,3.8,3.85,3.621897,17700.0
30,2016-02-18,3.86,3.9,3.82,3.87,3.640712,371200.0
31,2016-02-19,3.9,3.9,3.84,3.9,3.668935,2400.0
32,2016-02-22,3.96,3.99,3.9,3.96,3.72538,12100.0
33,2016-02-23,3.9,3.97,3.9,3.95,3.715973,40900.0
34,2016-02-24,3.99,3.99,3.91,3.98,3.744195,8200.0
35,2016-02-25,3.95,4.05,3.95,4.04,3.80064,30100.0
36,2016-02-26,3.99,4.01,3.95,4.0,3.76301,42300.0
37,2016-02-29,3.99,4.03,3.98,4.03,3.791233,11100.0
38,2016-03-01,4.02,4.15,4.02,4.15,3.904124,38000.0
39,2016-03-02,4.15,4.42,4.15,4.25,3.998199,109800.0
40,2016-03-03,4.4,4.5,4.22,4.4,4.139311,46200.0
41,2016-03-04,4.49,5.39,4.49,5.0,4.703763,84100.0
42,2016-03-07,5.39,5.39,4.77,5.1,4.797838,101300.0
43,2016-03-08,5.29,5.29,4.79,4.87,4.581465,35600.0
44,2016-03-09,5.05,5.2,4.96,5.15,4.844876,84600.0
45,2016-03-10,5.28,5.6,5.26,5.4,5.080064,403800.0
46,2016-03-11,5.69,5.8,5.24,5.24,4.929543,19800.0
47,2016-03-14,5.49,5.6,4.93,5.02,4.722578,64700.0
48,2016-03-15,5.0,5.09,4.91,5.02,4.722578,24600.0
49,2016-03-16,5.01,5.16,4.87,5.07,4.769616,34500.0
50,2016-03-17,5.3,5.39,4.9,4.9,4.609687,1334500.0
51,2016-03-18,5.09,5.09,4.99,5.01,4.713171,137700.0
52,2016-03-21,5.18,5.3,5.08,5.15,4.844876,77200.0
53,2016-03-22,5.28,5.35,5.28,5.3,4.985989,59500.0
54,2016-03-23,5.31,5.78,5.31,5.74,5.39992,267100.0
55,2016-03-24,5.98,6.0,5.72,5.75,5.409327,234600.0
56,2016-03-28,6.0,6.0,5.59,5.8,5.456365,64200.0
57,2016-03-29,5.8,6.35,5.8,6.35,5.973779,300700.0
58,2016-03-30,6.44,6.44,6.15,6.44,6.058446,28800.0
59,2016-03-31,6.36,6.44,6.26,6.36,5.983187,59000.0
60,2016-04-01,6.29,6.34,6.17,6.3,5.926741,108000.0
61,2016-04-04,6.4,6.4,5.92,6.28,5.907926,47400.0
62,2016-04-05,6.24,6.24,6.1,6.1,5.73859,54100.0
63,2016-04-06,6.02,6.1,5.9,5.9,5.550441,8000.0
64,2016-04-07,5.95,6.11,5.93,6.11,5.747998,33000.0
65,2016-04-08,6.29,6.37,6.1,6.3,5.926741,55500.0
66,2016-04-11,6.17,6.39,6.15,6.25,5.879704,18900.0
