,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.385714,1.396428,1.353571,1.357142,1.088571,37240.0
1,2016-01-05,1.389285,1.389285,1.357142,1.357142,1.088571,8400.0
2,2016-01-06,1.35,1.357142,1.303571,1.317857,1.05706,48720.0
3,2016-01-07,1.357142,1.357142,1.289285,1.310714,1.051331,43400.0
4,2016-01-08,1.292857,1.314285,1.271428,1.282142,1.028413,79800.0
5,2016-01-11,1.321428,1.35,1.278571,1.278571,1.025548,28000.0
6,2016-01-12,1.267857,1.285714,1.214285,1.246428,0.999766,76720.0
7,2016-01-13,1.228571,1.257142,1.221428,1.221428,0.979714,9520.0
8,2016-01-14,1.207142,1.214285,1.178571,1.2,0.962526,201600.0
9,2016-01-15,1.178571,1.207142,1.128571,1.153571,0.925285,47600.0
10,2016-01-18,1.139285,1.139285,1.089285,1.089285,0.873721,116760.0
11,2016-01-19,1.092857,1.096428,1.067857,1.096428,0.879451,299880.0
12,2016-01-20,1.1,1.171428,1.039285,1.057142,0.847939,164080.0
13,2016-01-21,1.017857,1.085714,1.014285,1.028571,0.825022,45640.0
14,2016-01-22,1.067857,1.071428,1.032142,1.032142,0.827887,42840.0
15,2016-01-26,1.032142,1.042857,0.960714,0.992857,0.796376,93800.0
16,2016-01-27,0.939285,1.071428,0.939285,1.039285,0.833616,114520.0
17,2016-01-28,1.010714,1.071428,1.003571,1.003571,0.80497,121520.0
18,2016-01-29,1.064285,1.089285,1.0,1.089285,0.873721,187880.0
19,2016-02-01,1.071428,1.082142,0.992857,1.014285,0.813563,203560.0
20,2016-02-02,1.003571,1.028571,0.946428,1.0,0.802105,488600.0
21,2016-02-03,0.982142,1.014285,0.967857,1.010714,0.810699,72240.0
22,2016-02-04,1.007142,1.046428,0.982142,0.985714,0.790646,148120.0
23,2016-02-05,1.028571,1.028571,0.971428,0.975,0.782053,100240.0
24,2016-02-10,1.0,1.017857,0.971428,1.017857,0.816429,47320.0
25,2016-02-11,1.014285,1.014285,0.960714,0.971428,0.779188,98280.0
26,2016-02-12,1.014285,1.017857,1.003571,1.017857,0.816429,10360.0
27,2016-02-15,1.017857,1.025,0.982142,0.989285,0.793511,93240.0
28,2016-02-16,0.989285,1.0,0.953571,0.971428,0.779188,374080.0
29,2016-02-17,0.992857,1.032142,0.960714,1.014285,0.813563,702240.0
30,2016-02-18,0.985714,0.985714,0.960714,0.960714,0.770594,194600.0
31,2016-02-19,0.967857,0.982142,0.964285,0.967857,0.776323,139440.0
32,2016-02-22,0.975,0.985714,0.964285,0.964285,0.773458,105560.0
33,2016-02-23,0.971428,0.978571,0.960714,0.960714,0.770594,24080.0
34,2016-02-24,0.978571,1.0,0.95,0.964285,0.773458,171920.0
35,2016-02-25,0.978571,0.996428,0.953571,0.964285,0.773458,140000.0
36,2016-02-26,0.985714,1.0,0.967857,1.0,0.802105,52360.0
37,2016-02-29,0.996428,1.017857,0.996428,1.017857,0.816429,37520.0
38,2016-03-01,1.017857,1.017857,0.967857,0.967857,0.776323,490000.0
39,2016-03-02,0.992857,1.010714,0.992857,1.007142,0.807834,105560.0
40,2016-03-03,1.007142,1.096428,0.946428,1.05,0.84221,1093400.0
41,2016-03-04,0.992857,1.092857,0.992857,1.025,0.822158,361480.0
42,2016-03-07,1.053571,1.060714,0.989285,1.003571,0.80497,734160.0
43,2016-03-08,1.017857,1.017857,0.964285,0.985714,0.790646,359520.0
44,2016-03-09,1.032142,1.032142,0.957142,0.957142,0.767729,1056160.0
45,2016-03-10,0.992857,0.996428,0.928571,0.953571,0.764864,1682800.0
46,2016-03-11,0.964285,0.978571,0.907142,0.964285,0.773458,987560.0
