,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,8.28,8.315,7.905,8.06,5.237961,313400.0
1,2016-01-05,7.97,8.02,7.91,7.925,5.150229,330800.0
2,2016-01-06,7.895,8.2,7.78,8.2,5.328942,281600.0
3,2016-01-07,8.09,8.135,7.955,8.125,5.280203,302800.0
4,2016-01-08,8.135,8.165,7.87,8.035,5.221714,312400.0
5,2016-01-11,8.035,8.035,7.86,8.0,5.198969,347800.0
6,2016-01-12,7.985,8.075,7.885,8.025,5.215215,234400.0
7,2016-01-13,7.98,8.0,7.9,8.0,5.198969,211400.0
8,2016-01-14,8.02,8.24,7.875,8.24,5.354938,240400.0
9,2016-01-15,8.155,8.21,7.905,8.18,5.315945,346800.0
10,2016-01-18,8.355,8.42,8.09,8.205,5.332192,150800.0
11,2016-01-19,8.175,8.39,7.95,8.155,5.299699,342800.0
12,2016-01-20,8.145,8.145,7.945,8.0,5.198969,435400.0
13,2016-01-21,7.995,8.1,7.88,8.1,5.263957,330200.0
14,2016-01-22,8.13,8.255,8.06,8.255,5.364686,248000.0
15,2016-01-26,8.1,8.25,8.07,8.08,5.250958,459200.0
16,2016-01-27,8.08,8.1,7.995,8.0,5.198969,316800.0
17,2016-01-28,7.9,8.075,7.9,8.0,5.198969,380400.0
18,2016-01-29,8.045,8.39,7.965,8.18,5.315945,561600.0
19,2016-02-01,8.255,8.35,7.93,8.11,5.270454,358400.0
20,2016-02-02,8.14,8.14,7.835,7.835,5.09174,213600.0
21,2016-02-03,7.895,8.4,7.845,8.4,5.458917,1292400.0
22,2016-02-04,8.43,8.465,8.175,8.25,5.361437,6493600.0
23,2016-02-05,8.2,8.5,8.14,8.35,5.426425,165800.0
24,2016-02-10,8.38,8.805,8.32,8.705,5.657127,3878600.0
25,2016-02-11,8.77,8.795,8.505,8.505,5.527153,408200.0
26,2016-02-12,8.47,8.65,8.465,8.65,5.621385,253200.0
27,2016-02-15,8.76,8.76,8.5,8.64,5.614886,242800.0
28,2016-02-16,8.68,8.945,8.575,8.85,5.751359,2297200.0
