,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.89,5.03,4.46,4.8,4.462545,266100.0
1,2016-01-05,4.75,4.77,4.36,4.65,4.32309,336500.0
2,2016-01-06,4.61,4.61,4.14,4.61,4.285902,409200.0
3,2016-01-07,4.52,4.58,4.35,4.35,4.044181,220800.0
4,2016-01-08,4.3,4.45,3.97,4.0,3.718787,277100.0
5,2016-01-11,4.1,4.12,3.7,3.7,3.439878,132000.0
6,2016-01-12,3.62,3.79,3.31,3.4,3.160969,547600.0
7,2016-01-13,3.31,3.53,3.3,3.4,3.160969,367200.0
8,2016-01-14,3.5,3.6,3.36,3.6,3.346908,144600.0
9,2016-01-15,3.5,3.78,3.4,3.42,3.179563,284000.0
10,2016-01-18,3.43,3.43,3.15,3.22,2.993624,200700.0
11,2016-01-19,3.33,3.33,2.86,2.86,2.658933,308000.0
12,2016-01-20,2.89,2.89,2.62,2.7,2.510181,757300.0
13,2016-01-21,2.62,2.94,2.55,2.77,2.57526,260900.0
14,2016-01-22,2.87,2.92,2.75,2.89,2.686824,154400.0
15,2016-01-26,2.82,2.84,2.72,2.73,2.538072,162000.0
16,2016-01-27,2.71,3.23,2.71,2.97,2.761199,629800.0
17,2016-01-28,3.03,3.28,3.01,3.2,2.97503,92100.0
18,2016-01-29,3.21,3.87,3.21,3.44,3.198157,117100.0
19,2016-02-01,3.43,4.4,3.42,3.72,3.458472,215900.0
20,2016-02-02,3.73,4.15,3.52,3.66,3.40269,171100.0
21,2016-02-03,3.86,3.89,3.31,3.4,3.160969,235300.0
22,2016-02-04,3.44,3.68,3.4,3.44,3.198157,128200.0
23,2016-02-05,3.44,3.58,3.44,3.44,3.198157,54000.0
24,2016-02-10,3.31,3.6,3.3,3.6,3.346908,30500.0
25,2016-02-11,3.56,3.6,3.1,3.2,2.97503,142500.0
26,2016-02-12,3.27,3.4,3.21,3.25,3.021514,50500.0
27,2016-02-15,3.28,3.56,3.25,3.56,3.309721,74500.0
28,2016-02-16,3.66,3.85,3.61,3.75,3.486363,81700.0
29,2016-02-17,3.91,4.0,3.57,3.75,3.486363,106600.0
30,2016-02-18,3.65,3.79,3.65,3.66,3.40269,46200.0
31,2016-02-19,3.61,3.81,3.61,3.74,3.477066,28300.0
32,2016-02-22,3.72,4.0,3.72,4.0,3.718787,119900.0
33,2016-02-23,4.07,4.14,3.97,4.0,3.718787,122600.0
34,2016-02-24,4.0,4.07,3.75,4.07,3.783866,83800.0
35,2016-02-25,4.08,4.15,3.91,3.91,3.635115,82300.0
36,2016-02-26,3.94,4.05,3.79,3.85,3.579333,35600.0
37,2016-02-29,3.9,4.04,3.88,4.04,3.755975,55300.0
38,2016-03-01,4.05,4.17,3.81,4.1,3.811757,149800.0
39,2016-03-02,4.13,4.19,4.0,4.05,3.765272,149900.0
40,2016-03-03,4.07,4.4,3.95,4.23,3.932617,651000.0
41,2016-03-04,4.29,4.5,4.2,4.45,4.13715,246200.0
42,2016-03-07,4.48,4.65,4.38,4.5,4.183635,96900.0
43,2016-03-08,4.61,4.65,4.51,4.63,4.304496,94700.0
44,2016-03-09,4.61,4.8,4.56,4.8,4.462545,286200.0
45,2016-03-10,4.6,4.81,4.41,4.81,4.471841,140700.0
46,2016-03-11,4.79,4.85,4.61,4.85,4.509029,142300.0
47,2016-03-14,4.75,4.95,4.75,4.82,4.481139,115000.0
48,2016-03-15,4.7,4.7,4.5,4.56,4.239417,120100.0
49,2016-03-16,4.49,4.65,4.41,4.65,4.32309,69600.0
50,2016-03-17,4.64,4.8,4.59,4.66,4.332387,91200.0
51,2016-03-18,4.55,4.7,4.41,4.5,4.183635,185400.0
52,2016-03-21,4.6,4.68,4.5,4.5,4.183635,73000.0
53,2016-03-22,4.48,4.55,4.43,4.45,4.13715,66700.0
54,2016-03-23,4.45,4.59,4.3,4.3,3.997696,136500.0
55,2016-03-24,4.24,4.3,4.12,4.2,3.904726,88400.0
56,2016-03-28,4.25,4.25,4.15,4.2,3.904726,118000.0
57,2016-03-29,4.24,4.29,4.1,4.1,3.811757,159400.0
58,2016-03-30,4.25,4.33,4.04,4.1,3.811757,939000.0
59,2016-03-31,4.11,4.17,3.69,3.69,3.430581,323200.0
60,2016-04-01,3.76,4.0,3.59,3.76,3.49566,124000.0
61,2016-04-04,3.76,3.87,3.74,3.76,3.49566,105900.0
62,2016-04-05,3.78,3.91,3.7,3.87,3.597926,135000.0
63,2016-04-06,3.91,3.96,3.75,3.75,3.486363,93400.0
64,2016-04-07,3.8,3.9,3.72,3.8,3.532848,53100.0
65,2016-04-08,3.89,3.93,3.82,3.85,3.579333,130100.0
66,2016-04-11,3.86,3.86,3.73,3.73,3.467769,105500.0
