,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-04-30,15.1,17.879999,15.0,16.200001,16.200001,7654100
1,2021-05-03,17.200001,17.200001,15.49,16.040001,16.040001,3088000
2,2021-05-04,16.209999,16.620001,15.7,15.9,15.9,1238100
3,2021-05-05,16.09,16.1,15.61,15.62,15.62,832000
4,2021-05-06,15.85,15.85,15.21,15.27,15.27,637000
5,2021-05-07,15.35,15.52,14.81,15.3,15.3,804900
6,2021-05-10,15.3,15.46,15.11,15.11,15.11,601800
7,2021-05-11,15.0,15.15,14.75,15.0,15.0,383600
8,2021-05-12,14.9,15.4,14.85,15.05,15.05,531400
9,2021-05-13,15.3,16.82,15.05,16.18,16.18,3053300
10,2021-05-14,16.379999,17.139999,16.299999,16.700001,16.700001,2071600
11,2021-05-17,16.889999,17.6,16.51,16.879999,16.879999,1907100
12,2021-05-18,17.049999,17.200001,16.52,16.719999,16.719999,843700
13,2021-05-19,16.629999,16.84,16.129999,16.280001,16.280001,763800
14,2021-05-20,16.0,16.0,15.5,15.8,15.8,1061900
15,2021-05-21,15.8,16.280001,15.8,15.96,15.96,509200
16,2021-05-24,16.18,16.93,16.09,16.209999,16.209999,987400
17,2021-05-25,16.18,16.469999,16.0,16.02,16.02,516400
18,2021-05-26,16.139999,16.32,16.01,16.030001,16.030001,363500
19,2021-05-27,16.09,16.24,15.88,15.9,15.9,445500
20,2021-05-28,15.95,16.08,15.65,15.73,15.73,745100
21,2021-05-31,15.76,15.95,15.23,15.55,15.55,682100
22,2021-06-01,15.72,16.09,15.51,16.0,16.0,594300
23,2021-06-02,16.0,16.08,15.56,15.64,15.64,568100
24,2021-06-04,15.68,15.98,15.52,15.67,15.67,437400
25,2021-06-07,15.53,15.79,15.33,15.41,15.41,628400
26,2021-06-08,15.33,15.38,15.0,15.03,15.03,690500
27,2021-06-09,15.13,15.38,15.13,15.37,15.37,430500
28,2021-06-10,15.48,15.7,15.36,15.64,15.64,468800
29,2021-06-11,15.69,15.69,15.4,15.51,15.51,282900
30,2021-06-14,15.62,15.7,15.3,15.3,15.3,376500
31,2021-06-15,15.48,15.62,15.34,15.39,15.39,304300
32,2021-06-16,15.49,15.56,15.3,15.42,15.42,252400
33,2021-06-17,15.41,15.53,15.2,15.35,15.35,298200
34,2021-06-18,15.26,15.39,15.15,15.28,15.28,347300
35,2021-06-21,15.35,15.41,15.07,15.11,15.11,439000
36,2021-06-22,15.11,15.29,14.76,14.97,14.97,740300
37,2021-06-23,15.0,15.08,14.62,14.62,14.62,866200
38,2021-06-24,14.75,15.11,14.75,14.89,14.89,318200
39,2021-06-25,14.99,15.0,14.6,14.87,14.87,328700
40,2021-06-28,14.9,15.0,14.65,14.7,14.7,403500
41,2021-06-29,14.55,15.3,14.55,15.3,15.3,511300
42,2021-06-30,15.2,15.46,15.01,15.46,15.46,513900
43,2021-07-01,15.42,15.58,15.11,15.11,15.11,391800
44,2021-07-02,15.11,15.39,15.08,15.08,15.08,420700
45,2021-07-05,15.16,15.27,15.01,15.01,15.01,177200
46,2021-07-06,15.06,15.09,14.8,14.92,14.92,266600
47,2021-07-07,14.98,15.15,14.9,14.9,14.9,194900
48,2021-07-08,14.8,15.28,14.7,14.9,14.9,400200
49,2021-07-12,15.0,15.14,14.75,14.75,14.75,285200
50,2021-07-13,14.75,14.86,14.55,14.6,14.6,411900
51,2021-07-14,14.6,14.79,14.6,14.61,14.61,225500
52,2021-07-15,14.61,14.84,14.5,14.53,14.53,305600
53,2021-07-16,14.57,14.69,14.36,14.62,14.62,314600
54,2021-07-19,14.5,14.52,13.93,14.05,14.05,529400
55,2021-07-20,14.1,14.33,13.73,13.9,13.9,977800
56,2021-07-21,13.92,14.09,13.26,13.26,13.26,1159900
57,2021-07-22,13.37,13.7,12.86,13.0,13.0,1455100
58,2021-07-23,13.0,13.48,12.94,13.11,13.11,667000
59,2021-07-26,13.12,13.47,13.12,13.47,13.47,491700
60,2021-07-27,13.5,13.85,13.35,13.64,13.64,563500
61,2021-07-28,13.72,13.9,13.54,13.7,13.7,817300
62,2021-07-29,13.69,13.83,13.3,13.65,13.65,426900
63,2021-07-30,13.53,14.4,13.4,13.94,13.94,927400
64,2021-08-02,14.02,14.4,14.02,14.38,14.38,386300
65,2021-08-03,14.4,14.41,13.8,14.31,14.31,222100
66,2021-08-04,14.31,14.31,13.82,13.83,13.83,310200
67,2021-08-05,13.99,14.08,13.53,13.53,13.53,204700
68,2021-08-06,13.62,14.0,13.54,13.96,13.96,188100
69,2021-08-09,14.04,14.53,14.0,14.5,14.5,416100
70,2021-08-10,14.55,14.79,14.4,14.4,14.4,333200
71,2021-08-11,14.51,14.51,14.14,14.35,14.35,249100
72,2021-08-12,14.43,14.78,14.26,14.58,14.58,230200
73,2021-08-13,14.49,15.23,14.34,15.1,15.1,441200
74,2021-08-16,15.1,15.1,13.77,14.18,14.18,748900
75,2021-08-17,14.3,14.4,13.67,13.81,13.81,426200
