,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-31,11.0,11.68,10.5,11.03,11.03,38704200.0
1,2020-08-03,11.05,11.5,10.61,11.5,11.5,4445000.0
2,2020-08-04,11.37,11.37,10.95,11.0,11.0,2458400.0
3,2020-08-05,11.02,11.21,11.02,11.1,11.1,1357400.0
4,2020-08-06,11.19,11.36,11.03,11.25,11.25,1430200.0
5,2020-08-07,11.19,11.76,11.18,11.75,11.75,2301800.0
6,2020-08-10,11.75,11.84,11.53,11.6,11.6,987400.0
7,2020-08-11,11.83,11.9,11.4,11.66,11.66,1451400.0
8,2020-08-12,11.6,11.65,11.03,11.46,11.46,1613100.0
9,2020-08-13,11.46,11.66,11.18,11.6,11.6,1356200.0
10,2020-08-14,11.52,11.59,11.16,11.59,11.59,1574800.0
11,2020-08-17,11.57,11.57,10.55,11.34,11.34,2059300.0
12,2020-08-18,11.34,11.59,11.23,11.59,11.59,686300.0
13,2020-08-19,11.57,11.57,11.33,11.45,11.45,561600.0
14,2020-08-20,11.21,11.4,11.14,11.3,11.3,621800.0
15,2020-08-21,11.3,11.52,11.18,11.38,11.38,1478500.0
16,2020-08-24,11.39,11.5,11.08,11.25,11.25,1569700.0
17,2020-08-25,11.25,11.46,11.14,11.4,11.4,678200.0
18,2020-08-26,11.3,11.48,10.93,10.93,10.93,1359600.0
19,2020-08-27,11.1,11.1,10.52,10.78,10.78,1437000.0
20,2020-08-28,10.78,11.0,10.65,10.8,10.8,1936300.0
21,2020-08-31,10.78,10.86,10.5,10.62,10.62,813300.0
22,2020-09-01,10.63,10.88,10.62,10.85,10.85,3548800.0
23,2020-09-02,10.73,10.99,10.7,10.89,10.89,698600.0
24,2020-09-03,10.89,11.14,10.43,11.14,11.14,965600.0
25,2020-09-04,11.02,12.0,10.9,12.0,12.0,901000.0
26,2020-09-08,11.68,11.68,11.15,11.15,11.15,1254200.0
27,2020-09-09,11.36,11.42,10.82,10.84,10.84,937400.0
28,2020-09-10,10.84,10.89,10.6,10.65,10.65,469800.0
29,2020-09-11,10.7,10.7,10.25,10.65,10.65,970500.0
30,2020-09-14,10.6,10.6,10.13,10.39,10.39,2360500.0
31,2020-09-15,10.31,10.59,9.99,10.59,10.59,2453300.0
32,2020-09-16,10.49,10.7,10.26,10.59,10.59,660900.0
33,2020-09-17,10.57,10.66,10.34,10.59,10.59,471700.0
34,2020-09-18,10.42,10.69,10.37,10.45,10.45,737700.0
35,2020-09-21,10.28,10.31,9.91,10.19,10.19,926900.0
36,2020-09-22,10.13,10.2,9.7,10.13,10.13,4368300.0
37,2020-09-23,10.13,10.21,9.93,10.0,10.0,1757700.0
38,2020-09-24,10.0,10.23,9.94,10.0,10.0,1439000.0
39,2020-09-25,9.91,10.09,9.8,10.05,10.05,1986900.0
40,2020-09-28,10.13,10.13,9.65,9.65,9.65,695700.0
41,2020-09-29,9.66,9.76,9.35,9.69,9.69,1161400.0
42,2020-09-30,9.68,9.84,9.46,9.75,9.75,1748200.0
43,2020-10-01,9.65,10.15,9.51,10.04,10.04,1132500.0
