,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-02,8.4475,8.665,8.15,8.15,8.15,4686800.0
1,2021-02-03,8.28,8.36,7.9275,8.225,8.225,3913200.0
2,2021-02-04,8.24,8.35,8.105,8.2,8.2,3601200.0
3,2021-02-05,8.185,8.2275,7.9775,8.125,8.125,4343600.0
4,2021-02-08,8.1625,9.0725,8.13,8.5875,8.5875,3120000.0
5,2021-02-09,8.6525,8.7725,8.28,8.4775,8.4775,1356000.0
6,2021-02-10,8.55,8.55,8.0375,8.25,8.25,3464400.0
7,2021-02-11,8.25,8.405,8.1575,8.2925,8.2925,1632800.0
8,2021-02-12,8.275,8.5675,8.2325,8.37,8.37,641200.0
9,2021-02-17,,,,,,
10,2021-02-18,8.6775,8.7875,8.5,8.6,8.6,980400.0
11,2021-02-19,8.525,9.045,8.505,8.875,8.875,1968800.0
12,2021-02-22,8.4,9.1975,8.395,8.7,8.7,1337200.0
13,2021-02-23,8.7025,8.9075,8.625,8.7,8.7,1683200.0
14,2021-02-24,8.8725,8.9975,8.465,8.725,8.725,1426000.0
15,2021-02-25,8.765,8.8125,8.27,8.5,8.5,1248000.0
16,2021-02-26,8.5225,8.9075,8.1375,8.625,8.625,1840800.0
17,2021-03-01,8.6325,8.8,8.3375,8.3375,8.3375,1331600.0
18,2021-03-02,8.34,8.5475,8.0,8.5475,8.5475,1157600.0
19,2021-03-03,8.465,8.465,8.2125,8.4375,8.4375,1400400.0
20,2021-03-04,8.475,8.6,8.295,8.5,8.5,747600.0
21,2021-03-05,8.475,8.545,8.3525,8.355,8.355,1292400.0
22,2021-03-08,8.355,8.355,7.9225,7.9225,7.9225,1002000.0
23,2021-03-09,8.0425,8.12,7.5825,7.65,7.65,2480400.0
24,2021-03-10,7.8425,7.85,7.2925,7.445,7.445,1274000.0
25,2021-03-11,7.4875,7.9425,7.4,7.9425,7.9425,2200800.0
26,2021-03-12,7.915,8.2125,7.6875,7.9725,7.9725,3219600.0
