,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,13.85,14.04,13.48,13.9,10.718474,830700.0
1,2016-01-05,14.0,14.0,12.46,12.46,9.608071,1975900.0
2,2016-01-06,12.22,13.69,12.22,13.52,10.425452,2627600.0
3,2016-01-07,13.46,13.81,13.11,13.45,10.371474,1435100.0
4,2016-01-08,13.41,13.42,12.32,12.65,9.754582,1547500.0
5,2016-01-11,12.56,13.45,12.55,13.0,10.024472,1593800.0
6,2016-01-12,13.29,13.37,12.49,12.55,9.677471,1018200.0
7,2016-01-13,12.7,13.06,12.39,12.5,9.638916,1428900.0
8,2016-01-14,12.4,12.58,12.07,12.48,9.623492,1163900.0
9,2016-01-15,12.15,12.46,12.15,12.3,9.484693,1283100.0
10,2016-01-18,12.48,12.53,11.71,11.71,9.029737,848000.0
11,2016-01-19,12.0,12.03,11.4,11.66,8.991181,2160900.0
12,2016-01-20,11.5,11.61,11.21,11.4,8.790692,1635900.0
13,2016-01-21,11.32,11.6,10.98,11.15,8.597914,2188200.0
14,2016-01-22,11.23,11.32,10.9,11.0,8.482246,2043300.0
15,2016-01-26,10.96,10.96,10.55,10.69,8.243201,2283700.0
16,2016-01-27,10.9,11.14,10.72,10.77,8.304891,4261000.0
17,2016-01-28,10.77,10.93,10.03,10.64,8.204645,2615000.0
18,2016-01-29,10.75,11.71,10.59,11.71,9.029737,2102700.0
19,2016-02-01,11.58,12.17,11.5,11.65,8.983469,1636000.0
20,2016-02-02,11.7,11.84,11.25,11.32,8.729003,1515300.0
21,2016-02-03,11.4,12.0,11.14,11.95,9.214804,1258500.0
22,2016-02-04,12.0,12.7,11.99,12.44,9.59265,1447700.0
23,2016-02-05,12.5,12.7,12.19,12.45,9.600361,946400.0
24,2016-02-10,12.4,12.48,11.84,12.1,9.330472,622900.0
25,2016-02-11,12.0,12.0,11.41,11.6,8.944915,869600.0
26,2016-02-12,11.78,11.93,11.25,11.78,9.083716,894800.0
27,2016-02-15,11.86,12.24,11.62,11.67,8.998892,1236300.0
28,2016-02-16,11.74,12.27,11.39,12.22,9.423005,1586900.0
29,2016-02-17,12.17,13.08,12.08,12.94,9.978206,1531000.0
30,2016-02-18,12.9,13.06,12.2,12.47,9.615782,1467800.0
31,2016-02-19,12.38,12.5,12.0,12.23,9.430715,850300.0
32,2016-02-22,12.5,12.9,12.45,12.64,9.746872,1051100.0
33,2016-02-23,12.55,12.88,12.34,12.5,9.638916,652400.0
34,2016-02-24,12.38,12.38,11.62,12.26,9.45385,795500.0
35,2016-02-25,12.14,12.14,11.68,11.95,9.214804,623700.0
36,2016-02-26,12.02,12.5,11.86,12.38,9.546383,1226600.0
37,2016-02-29,12.9,13.25,12.25,12.76,9.839406,1179900.0
38,2016-03-01,12.95,13.7,12.92,13.4,10.332918,1037900.0
39,2016-03-02,13.31,13.58,13.16,13.4,10.332918,1251800.0
40,2016-03-03,13.5,14.34,13.36,14.0,10.795587,3735800.0
41,2016-03-04,14.4,15.0,13.85,14.5,11.181143,1803000.0
42,2016-03-07,14.62,15.21,14.14,14.85,11.451033,2092300.0
43,2016-03-08,14.91,15.54,14.81,15.01,11.574412,2524200.0
44,2016-03-09,15.12,15.48,14.76,14.99,11.558988,1959100.0
45,2016-03-10,15.09,15.54,14.47,15.25,11.759479,2489900.0
46,2016-03-11,15.2,15.2,13.69,13.79,10.633652,2815400.0
47,2016-03-14,13.76,14.14,13.14,13.5,10.410028,1531300.0
48,2016-03-15,13.32,13.32,12.12,12.15,9.369024,1621700.0
49,2016-03-16,12.15,12.37,11.87,12.21,9.415293,1295500.0
50,2016-03-17,13.0,13.31,12.51,12.53,9.662048,2003100.0
51,2016-03-18,12.54,13.17,12.54,12.65,9.754582,1529800.0
52,2016-03-21,12.8,12.99,12.3,12.39,9.554094,1409500.0
53,2016-03-22,12.36,12.69,12.2,12.6,9.716028,3563400.0
54,2016-03-23,12.53,12.67,12.04,12.04,9.284204,1680200.0
55,2016-03-24,12.0,12.14,11.75,12.1,9.330472,5971400.0
56,2016-03-28,12.25,12.3,11.24,11.24,8.667313,2515400.0
57,2016-03-29,11.3,11.72,11.29,11.57,8.921782,2491200.0
58,2016-03-30,11.72,12.41,11.7,11.98,9.237936,2636400.0
59,2016-03-31,11.85,11.85,11.85,11.85,9.137692,1000.0
60,2016-04-01,12.07,12.07,12.07,12.07,9.307338,900.0
61,2016-04-04,11.65,11.65,11.65,11.65,8.983469,2400.0
62,2016-04-05,11.73,11.73,11.73,11.73,9.045159,1900.0
63,2016-04-06,11.66,11.66,11.66,11.66,8.991181,6800.0
64,2016-04-07,11.78,11.78,11.78,11.78,9.083716,400.0
65,2016-04-08,12.14,12.42,12.08,12.28,9.469272,2280300.0
66,2016-04-11,12.05,12.05,12.05,12.05,9.291916,1300.0
67,2016-04-12,12.54,12.54,12.54,12.54,9.669762,2200.0
68,2016-04-13,12.22,12.22,12.22,12.22,9.423005,37700.0
69,2016-04-14,12.2,12.33,11.5,11.5,8.867803,5321400.0
70,2016-04-15,11.69,12.31,11.61,12.08,9.315048,2750900.0
71,2016-04-18,12.11,12.3,11.74,11.93,9.199383,1253800.0
72,2016-04-19,12.23,12.23,12.23,12.23,9.430715,8200.0
73,2016-04-20,12.25,12.42,12.07,12.2,9.407582,2437700.0
74,2016-04-22,12.0,12.17,11.47,11.6,8.944915,2359200.0
75,2016-04-25,11.59,11.94,11.32,11.87,9.153115,2605800.0
76,2016-04-26,11.95,12.2,11.9,12.14,9.361316,1790700.0
77,2016-04-27,12.21,12.32,11.71,11.79,9.091428,3277900.0
78,2016-04-28,11.68,11.72,10.91,11.35,9.039282,2578100.0
79,2016-04-29,11.44,12.0,11.3,11.87,9.453418,3420300.0
80,2016-05-02,12.0,12.28,11.9,12.22,9.732162,3003200.0
81,2016-05-03,12.2,12.47,12.01,12.33,9.819766,3093700.0
82,2016-05-04,12.45,12.48,11.82,11.91,9.485273,6988100.0
83,2016-05-05,12.09,12.15,10.96,11.13,8.864072,5100200.0
84,2016-05-06,11.14,11.22,10.75,11.0,8.760537,4073300.0
85,2016-05-09,11.19,11.55,10.92,11.3,8.999461,3165600.0
86,2016-05-10,11.51,12.14,11.41,12.06,9.604734,3355700.0
87,2016-05-11,12.45,12.45,11.82,11.83,9.42156,4240800.0
88,2016-05-12,11.95,12.28,11.68,11.87,9.453418,3693400.0
89,2016-05-13,11.75,11.75,11.07,11.3,8.999461,6895500.0
90,2016-05-16,11.32,11.63,11.15,11.48,9.142815,3914500.0
91,2016-05-17,11.68,11.69,11.12,11.35,9.039282,2911800.0
92,2016-05-18,11.11,11.73,11.11,11.37,9.055211,3110800.0
93,2016-05-19,11.21,11.66,11.21,11.45,9.118923,1967100.0
94,2016-05-20,11.59,11.59,11.17,11.22,8.935749,2719100.0
95,2016-05-23,11.0,11.01,10.68,10.95,8.720717,4049800.0
